index,Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
60,PolyesterFiber,0,0,-33.71459711454643,-32.58469839962336,3.0139164064521675,2.054367295134734,,,,,,,3.912356834199412,23.31665656121573,,,,,,,13
61,PolyesterFiber,1,0,-58.21052195052761,-55.95072452068146,2.2576206651113706,2.054367295134734,2.7239220272954605,,,,,,3.912356834199412,4.991877418512836,29.27911463522692,,,,,,13
62,PolyesterFiber,2,0,-55.59439459868892,-52.2046984539197,2.2576206651113657,2.054367295134734,2.743624941484345,3.64516319566299,,,,,3.912356834199412,4.991877418512636,30.3799974485542,24.340812480027484,,,,,13
63,Geothermal_Electricity,0,1,-136.51812582766428,-135.29925000279607,,6.749824565866473,,,,,,,8.496649985985119,12.615223521757946,,,,,,,26
64,Geothermal_Electricity,0,0,-87.1510635973054,-84.63487052126243,3.4095087723354283,6.749824565866473,,,,,,,8.496649985985119,20.30069467777817,,,,,,,26
65,Geothermal_Electricity,1,0,-143.4578651875638,-138.42547903547788,2.5573567680084404,6.749824565866473,8.01020549193749,,,,,,8.496649985985119,13.680262012681943,33.52910231698556,,,,,,26
66,Geothermal_Electricity,2,0,-156.0375198998692,-148.48894067174032,2.1871689823159524,6.749824565866473,7.559838289953246,8.212726624400299,,,,,8.496649985985119,10.51063244507836,20.653782035223035,38.33391996616188,,,,,26
67,Solar_Thermal,0,1,-9.861125900329064,-9.781684358649228,,1.843819745203394,,,,,,,2.626046905040928,3.600841185847492,,,,,,,9
68,Solar_Thermal,0,0,-18.00318884706488,-17.60873969239244,4.35676700616318,1.843819745203394,,,,,,,2.626046905040928,16.394344394417338,,,,,,,9
69,Cyclohexane,0,1,-69.75009728287601,-68.97750856063624,,1.9777825815576693,,,,,,,3.485439313356928,12.616567093377618,,,,,,,17
70,Cyclohexane,0,0,-65.20177907170302,-63.535352383590585,1.288201190917384,1.9777825815576693,,,,,,,3.485439313356928,15.044980485143466,,,,,,,17
71,Cyclohexane,1,0,-77.30479326169765,-73.97193988547279,1.143743941714252,1.9777825815576693,3.1552626591683515,,,,,,3.485439313356928,11.52696355552395,29.431014449862975,,,,,,17
72,Cyclohexane,2,0,-76.4982646994062,-71.49898463506891,0.9489569226401208,1.9777825815576693,2.47051178911044,3.319446275805114,,,,,3.485439313356928,5.991810641806461,15.452965192818214,36.81557314101045,,,,,17
73,DRAM,0,1,-26.173125321701697,-24.61777726021228,,-2.168832446932043,,,,,,,6.9390449806157095,40.02783231433893,,,,,,,36
74,DRAM,0,0,2.2714552419056204,5.43849311881784,0.0236650021538512,-2.168832446932043,,,,,,,6.9390449806157095,39.07680694695501,,,,,,,36
75,DRAM,1,0,-26.471640818584014,-20.13756506475957,-0.0213655106189024,-2.168832446932043,4.269431846067249,,,,,,6.9390449806157095,35.82250984198424,48.68718265723463,,,,,,36
76,DRAM,2,0,-29.89622548660665,-20.395111855869985,-0.0204080161867275,-2.168832446932043,4.471006330502795,4.937598393776089,,,,,6.9390449806157095,35.36815384886415,68.7510509058109,42.297985771663264,,,,,36
77,DRAM,3,0,-40.29732581617729,-27.62917430852841,-0.0459319085770911,-2.168832446932043,2.3026169724650427,4.283043871226999,4.937598393776087,,,,6.9390449806157095,37.92151115288832,26.779233939558388,68.75105090581104,42.29798577166337,,,,36
78,DRAM,4,0,-38.88437215283447,-23.049182768273376,-0.4131512786080796,-2.168832446932043,-1.1421401901475414,3.7001516512665966,4.267731956776201,4.88932654423797,,,6.9390449806157095,46.70228510495511,35.042882921423754,3.583237866650779,72.57769645862162,42.29798577166341,,,36
79,DRAM,5,0,-35.217069704832866,-16.214842443359544,0.1969413220714795,-2.168832446932043,-1.8450648601645752,-1.227557117224369,3.705568707821184,4.267731956776198,4.889326544237969,,6.9390449806157095,34.430722722688536,51.88428833818809,34.939545823902385,3.583237866650013,72.57769645862156,42.29798577166325,,36
80,SodiumHydrosulfite,0,1,-31.04703589929136,-30.967594357611524,,1.874137379172136,,,,,,,2.578456539191699,2.7750576028349405,,,,,,,9
81,SodiumHydrosulfite,0,0,-38.16672334539183,-37.77227419071939,1.5727430239993705,1.874137379172136,,,,,,,2.578456539191699,6.630847532860962,,,,,,,9
82,EthylAlcohol,0,1,-60.72596146043901,-60.08690413082376,,2.946721343910557,,,,,,,3.670055378360996,1.0457167756255492,,,,,,,15
83,EthylAlcohol,0,0,-54.66079246575096,-53.24469206354654,1.075966039707676,2.946721343910557,,,,,,,3.670055378360996,6.200050808329294,,,,,,,15
84,EthylAlcohol,1,0,-71.07870435575884,-68.24650355135,0.3223388264825345,2.946721343910557,3.366453247493828,,,,,,3.670055378360996,-10.69932668083493,23.726768177444068,,,,,,15
85,Ethanol_2,0,1,-56.85863840477886,-56.08604968253908,,1.4359806059181257,,,,,,,2.9489483271477783,14.464801283306317,,,,,,,17
86,Ethanol_2,0,0,-52.89439457633232,-51.22796788821989,2.670203359234025,1.4359806059181257,,,,,,,2.9489483271477783,18.087520183913973,,,,,,,17
