,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
165,no transition,Technology-specific - Way et al. (2022),172.70095321359264
166,no transition,Technology-specific - Way et al. (2022),201.30663125943713
167,no transition,Technology-specific - Way et al. (2022),166.49890112653375
168,no transition,Technology-specific - Way et al. (2022),183.82248860396862
169,no transition,Technology-specific - Way et al. (2022),184.564321147826
170,no transition,Technology-specific - Way et al. (2022),176.00108601792056
171,no transition,Technology-specific - Way et al. (2022),162.64868424037388
172,no transition,Technology-specific - Way et al. (2022),174.566174420289
173,no transition,Technology-specific - Way et al. (2022),186.5695956658442
174,no transition,Technology-specific - Way et al. (2022),195.18642121960318
175,no transition,Technology-specific - Way et al. (2022),185.01525813043474
176,no transition,Technology-specific - Way et al. (2022),161.9145932541979
177,no transition,Technology-specific - Way et al. (2022),198.30194604181517
178,no transition,Technology-specific - Way et al. (2022),178.51965103320464
179,no transition,Technology-specific - Way et al. (2022),173.95437877420557
180,no transition,Technology-specific - Way et al. (2022),173.2444768874532
181,no transition,Technology-specific - Way et al. (2022),172.67649281743
182,no transition,Technology-specific - Way et al. (2022),153.0004741720147
183,no transition,Technology-specific - Way et al. (2022),190.86660351193512
184,no transition,Technology-specific - Way et al. (2022),159.8615190609575
185,no transition,Technology-specific - Way et al. (2022),216.56351908942997
186,no transition,Technology-specific - Way et al. (2022),207.77909634096181
187,no transition,Technology-specific - Way et al. (2022),199.74278694758172
188,no transition,Technology-specific - Way et al. (2022),177.26347159313056
189,no transition,Technology-specific - Way et al. (2022),165.31642499661095
190,no transition,Technology-specific - Way et al. (2022),155.85243450018078
191,no transition,Technology-specific - Way et al. (2022),188.97760753425175
192,no transition,Technology-specific - Way et al. (2022),161.888953427622
193,no transition,Technology-specific - Way et al. (2022),202.66051489460204
194,no transition,Technology-specific - Way et al. (2022),159.25251075062843
195,no transition,Technology-specific - Way et al. (2022),166.2554878187808
196,no transition,Technology-specific - Way et al. (2022),180.76504880465993
197,no transition,Technology-specific - Way et al. (2022),188.62117784263515
198,no transition,Technology-specific - Way et al. (2022),174.43889104258696
199,no transition,Technology-specific - Way et al. (2022),168.25073832886943
200,no transition,Technology-specific - Way et al. (2022),188.39702764591274
201,no transition,Technology-specific - Way et al. (2022),174.88403258286456
202,no transition,Technology-specific - Way et al. (2022),177.9110591982058
203,no transition,Technology-specific - Way et al. (2022),162.90403033940711
204,no transition,Technology-specific - Way et al. (2022),175.40846725861803
205,no transition,Technology-specific - Way et al. (2022),182.59523768476998
206,no transition,Technology-specific - Way et al. (2022),188.8093281067007
207,no transition,Technology-specific - Way et al. (2022),181.18283333799062
208,no transition,Technology-specific - Way et al. (2022),170.6463278539467
209,no transition,Technology-specific - Way et al. (2022),187.23801022710893
210,no transition,Technology-specific - Way et al. (2022),193.23601752951842
211,no transition,Technology-specific - Way et al. (2022),198.4881816228365
212,no transition,Technology-specific - Way et al. (2022),181.31856038810943
213,no transition,Technology-specific - Way et al. (2022),193.7143748322538
214,no transition,Technology-specific - Way et al. (2022),191.02306012149407
215,no transition,Technology-specific - Way et al. (2022),163.43590014924206
216,no transition,Technology-specific - Way et al. (2022),155.91227972642218
217,no transition,Technology-specific - Way et al. (2022),167.37678749440562
218,no transition,Technology-specific - Way et al. (2022),197.88366244890042
219,no transition,Technology-specific - Way et al. (2022),177.71385616237944
220,no transition,Technology-specific - Way et al. (2022),185.24548014282368
221,no transition,Technology-specific - Way et al. (2022),183.05529056521715
222,no transition,Technology-specific - Way et al. (2022),204.6456304727219
223,no transition,Technology-specific - Way et al. (2022),187.59632136595832
224,no transition,Technology-specific - Way et al. (2022),192.22623584958689
225,no transition,Technology-specific - Way et al. (2022),158.10828604552225
226,no transition,Technology-specific - Way et al. (2022),170.827202233423
227,no transition,Technology-specific - Way et al. (2022),172.2919958245311
228,no transition,Technology-specific - Way et al. (2022),169.89313299049925
229,no transition,Technology-specific - Way et al. (2022),198.4451479903724
230,no transition,Technology-specific - Way et al. (2022),171.1478438571649
231,no transition,Technology-specific - Way et al. (2022),181.60685307874587
232,no transition,Technology-specific - Way et al. (2022),195.29060426512925
233,no transition,Technology-specific - Way et al. (2022),190.43455934032366
234,no transition,Technology-specific - Way et al. (2022),194.0590946789143
