,iter,scenario,cost
2015,671,fast transition,223.1533004739501
2016,672,no transition,169.71644060958957
2017,672,slow transition,232.5029463064303
2018,672,fast transition,192.25180551766644
2019,673,no transition,196.0130038653904
2020,673,slow transition,267.2617990401004
2021,673,fast transition,258.24508859873737
2022,674,no transition,188.76172166055738
2023,674,slow transition,177.33139997468453
2024,674,fast transition,371.42870746148265
2025,675,no transition,240.94671326049857
2026,675,slow transition,203.93720086213855
2027,675,fast transition,177.67305938561623
2028,676,no transition,179.64847188447763
2029,676,slow transition,185.65461406488288
2030,676,fast transition,483.9179072762699
2031,677,no transition,197.72731612542574
2032,677,slow transition,162.46708999448418
2033,677,fast transition,239.3042584001348
2034,678,no transition,213.11955543139962
2035,678,slow transition,177.19532114992373
2036,678,fast transition,162.86219393324325
2037,679,no transition,162.39089807087805
2038,679,slow transition,216.64102201036
2039,679,fast transition,206.86581200218882
2040,680,no transition,207.35746023780408
2041,680,slow transition,241.8290955389701
2042,680,fast transition,260.0883800176768
2043,681,no transition,215.0683883077775
2044,681,slow transition,208.75477309436545
2045,681,fast transition,182.07031222092783
2046,682,no transition,187.63555016030674
2047,682,slow transition,298.8037968687148
2048,682,fast transition,213.24436827179176
2049,683,no transition,198.84282178353143
2050,683,slow transition,189.90754590525157
2051,683,fast transition,241.81424274341543
2052,684,no transition,203.850386874168
2053,684,slow transition,242.3732353072801
2054,684,fast transition,200.49578491894286
2055,685,no transition,165.58657599015316
2056,685,slow transition,222.90397045008956
2057,685,fast transition,206.39459279543092
2058,686,no transition,188.18613886296387
2059,686,slow transition,180.0142918584785
2060,686,fast transition,223.95132757475653
2061,687,no transition,173.09491309123226
2062,687,slow transition,263.87049592697144
2063,687,fast transition,219.90194064433453
2064,688,no transition,191.85948508295576
2065,688,slow transition,227.50038155338424
2066,688,fast transition,343.4757836349335
2067,689,no transition,212.28299566001587
2068,689,slow transition,254.88905582062068
2069,689,fast transition,155.5784004669793
2070,690,no transition,183.36797694301143
2071,690,slow transition,390.97655396530547
2072,690,fast transition,213.00090568643245
2073,691,no transition,182.50087135394276
2074,691,slow transition,284.209553209901
2075,691,fast transition,270.29508718520924
2076,692,no transition,194.16539959512932
2077,692,slow transition,230.1006959888054
2078,692,fast transition,211.32379858346238
2079,693,no transition,159.33831299206636
2080,693,slow transition,173.5746162367459
2081,693,fast transition,228.956994480664
2082,694,no transition,193.9273352281397
2083,694,slow transition,282.77416378832237
2084,694,fast transition,171.62423895775518
2085,695,no transition,197.47401967166843
2086,695,slow transition,202.60965321514243
2087,695,fast transition,181.40659457464938
2088,696,no transition,206.10754620625056
2089,696,slow transition,228.12914045385736
2090,696,fast transition,252.0708256942319
2091,697,no transition,211.8651623699517
2092,697,slow transition,221.80329665575044
2093,697,fast transition,263.1322805332042
2094,698,no transition,181.09228230520313
2095,698,slow transition,260.8138778947099
2096,698,fast transition,199.5911668156835
2097,699,no transition,170.4554559909601
2098,699,slow transition,188.3365419205085
2099,699,fast transition,172.1821911366548
2100,700,no transition,195.7001724794515
2101,700,slow transition,329.4507101183846
2102,700,fast transition,162.23857924228875
2103,701,no transition,205.7443988908478
2104,701,slow transition,227.7597527261218
2105,701,fast transition,212.59593828520846
2106,702,no transition,181.40852206966727
2107,702,slow transition,262.68057291541993
2108,702,fast transition,212.06705510088423
2109,703,no transition,179.09293385585312
2110,703,slow transition,183.2113572928051
2111,703,fast transition,413.68683224059146
2112,704,no transition,235.00157746356612
2113,704,slow transition,154.01023614645925
2114,704,fast transition,262.3679322841247
2115,705,no transition,197.7355649606376
2116,705,slow transition,242.00567800663458
2117,705,fast transition,160.98430439783564
2118,706,no transition,205.5427072261813
2119,706,slow transition,162.25391376035952
2120,706,fast transition,159.36181167281953
2121,707,no transition,174.9586793872175
2122,707,slow transition,178.17874191854855
2123,707,fast transition,283.7585681834967
2124,708,no transition,205.48132248989478
2125,708,slow transition,204.24221111212918
2126,708,fast transition,201.17113381242325
2127,709,no transition,169.2898970050088
2128,709,slow transition,176.1482025895038
2129,709,fast transition,210.08030661140106
2130,710,no transition,177.32778140281303
2131,710,slow transition,201.13556163084732
2132,710,fast transition,309.64384476178896
2133,711,no transition,197.092402227527
2134,711,slow transition,278.15080915413733
2135,711,fast transition,192.10722831094805
2136,712,no transition,171.9401575714853
2137,712,slow transition,201.9453527517887
2138,712,fast transition,323.8437135689998
2139,713,no transition,217.03890420645578
2140,713,slow transition,217.52558658067156
2141,713,fast transition,238.89506540268687
2142,714,no transition,184.45721621699727
2143,714,slow transition,197.85684610977611
2144,714,fast transition,229.3857764523281
2145,715,no transition,181.07641342970442
2146,715,slow transition,232.00909827503776
2147,715,fast transition,177.9572732783993
2148,716,no transition,183.412104892632
2149,716,slow transition,219.74571849232234
2150,716,fast transition,217.39940420557218
2151,717,no transition,189.56738986414155
2152,717,slow transition,221.65502777048505
2153,717,fast transition,222.7424178666678
2154,718,no transition,177.18888063471837
2155,718,slow transition,211.73299644778166
2156,718,fast transition,285.1859982765228
2157,719,no transition,174.40037303177274
2158,719,slow transition,171.20724558558268
2159,719,fast transition,152.3610861361273
2160,720,no transition,227.0430496174102
2161,720,slow transition,228.3286728779128
2162,720,fast transition,170.11405944904055
2163,721,no transition,166.36799177702343
2164,721,slow transition,159.35446094491337
2165,721,fast transition,265.0039327795727
2166,722,no transition,236.1820874342199
2167,722,slow transition,201.39773139345525
2168,722,fast transition,193.55420131060362
2169,723,no transition,179.63515927784772
2170,723,slow transition,184.3858433493737
2171,723,fast transition,210.56991918565237
2172,724,no transition,168.09696597913242
2173,724,slow transition,197.32816209812438
2174,724,fast transition,164.27708347982232
2175,725,no transition,224.134613462761
2176,725,slow transition,204.2152120303943
2177,725,fast transition,201.79313858923578
2178,726,no transition,206.78779439519533
2179,726,slow transition,236.2167505444318
2180,726,fast transition,249.34148824692565
2181,727,no transition,194.2686758438268
2182,727,slow transition,181.68768254545526
2183,727,fast transition,356.06135470318316
2184,728,no transition,180.00762670233817
2185,728,slow transition,164.5091297164643
2186,728,fast transition,157.23117569750212
2187,729,no transition,219.0026115263555
2188,729,slow transition,210.618943030476
2189,729,fast transition,230.38849950355413
2190,730,no transition,206.8327303364572
2191,730,slow transition,504.3975733538037
2192,730,fast transition,287.90155605531567
2193,731,no transition,222.12655031934477
2194,731,slow transition,242.2448440421783
2195,731,fast transition,212.9294181805785
2196,732,no transition,187.25298642143787
2197,732,slow transition,181.50738678707566
2198,732,fast transition,294.5056829681202
2199,733,no transition,227.4458677495466
2200,733,slow transition,196.61582708113605
2201,733,fast transition,268.71269029803307
2202,734,no transition,158.0261907019625
2203,734,slow transition,314.9274922693205
2204,734,fast transition,385.23642493953474
2205,735,no transition,160.5219784968853
2206,735,slow transition,153.79501955826544
2207,735,fast transition,195.26529295605005
2208,736,no transition,161.92963461818286
2209,736,slow transition,195.61608779491368
2210,736,fast transition,242.71082785359886
2211,737,no transition,183.7158077291394
2212,737,slow transition,224.68590203056536
2213,737,fast transition,264.351058998392
2214,738,no transition,201.89873772616968
2215,738,slow transition,187.33776411685668
2216,738,fast transition,137.50735445267625
2217,739,no transition,180.03978266599898
2218,739,slow transition,226.05805107284772
2219,739,fast transition,218.39829207278888
2220,740,no transition,180.5004377012371
2221,740,slow transition,214.38747281657675
2222,740,fast transition,206.37075844260136
2223,741,no transition,206.98837466733414
2224,741,slow transition,221.22459172896987
2225,741,fast transition,295.06396940000974
2226,742,no transition,197.40962060341124
2227,742,slow transition,192.2636881148287
2228,742,fast transition,184.50738059102562
2229,743,no transition,179.343686105167
2230,743,slow transition,318.5455999599725
2231,743,fast transition,294.4947478473734
2232,744,no transition,242.2425965281747
2233,744,slow transition,235.72966411900236
2234,744,fast transition,207.511111728956
2235,745,no transition,221.52967528741644
2236,745,slow transition,198.78936176671095
2237,745,fast transition,226.08393362550834
2238,746,no transition,186.92748644083917
2239,746,slow transition,257.0166124928543
2240,746,fast transition,191.3020957348309
2241,747,no transition,168.52017164802638
2242,747,slow transition,185.1111754337466
2243,747,fast transition,225.48118262502234
2244,748,no transition,159.5191490174232
2245,748,slow transition,182.4933650953608
2246,748,fast transition,187.569585056241
2247,749,no transition,200.0842484925467
2248,749,slow transition,187.96585715723455
2249,749,fast transition,204.0200131525381
2250,750,no transition,174.91826083188303
2251,750,slow transition,139.908906324297
2252,750,fast transition,235.06006789845276
2253,751,no transition,249.12024118191255
2254,751,slow transition,162.03090165325568
2255,751,fast transition,323.05441704076765
2256,752,no transition,207.94308722266922
2257,752,slow transition,190.5350776715418
2258,752,fast transition,193.1363251713452
2259,753,no transition,197.29816016386053
2260,753,slow transition,218.72561896106382
2261,753,fast transition,310.9699291671458
2262,754,no transition,191.50160815186732
2263,754,slow transition,202.70517510805982
2264,754,fast transition,235.26832759953217
2265,755,no transition,181.118702325666
2266,755,slow transition,190.61888415277224
2267,755,fast transition,211.21375256473942
2268,756,no transition,238.81891072063337
2269,756,slow transition,224.79637516355606
2270,756,fast transition,313.15388057230854
2271,757,no transition,196.565778580286
2272,757,slow transition,181.97725588120676
2273,757,fast transition,218.45190156803855
2274,758,no transition,205.60556802971385
2275,758,slow transition,197.06929581511025
2276,758,fast transition,264.879087189643
2277,759,no transition,173.29550720420664
2278,759,slow transition,215.9984112894676
2279,759,fast transition,210.92958407960774
2280,760,no transition,156.1493104320415
2281,760,slow transition,205.35599374130683
2282,760,fast transition,194.54994762628374
2283,761,no transition,190.57044135233676
2284,761,slow transition,222.51783776334636
2285,761,fast transition,202.35976211914505
2286,762,no transition,159.06815382741968
2287,762,slow transition,258.0073515380735
2288,762,fast transition,259.635903627468
2289,763,no transition,177.18804292134743
2290,763,slow transition,250.02399379807625
2291,763,fast transition,181.88044279413793
2292,764,no transition,180.72771586631822
2293,764,slow transition,343.4583573468661
2294,764,fast transition,183.640454375981
2295,765,no transition,176.6556434928745
2296,765,slow transition,222.17290703910112
2297,765,fast transition,227.3690837819417
2298,766,no transition,278.2082236456097
2299,766,slow transition,244.60705608346709
2300,766,fast transition,207.73898574421366
2301,767,no transition,176.4385673391078
2302,767,slow transition,191.75522192796242
2303,767,fast transition,314.69064062011637
2304,768,no transition,176.98205233747476
2305,768,slow transition,212.73465725292286
2306,768,fast transition,187.51696118801107
2307,769,no transition,200.14252912927154
2308,769,slow transition,302.36827071038806
2309,769,fast transition,206.1251110181456
2310,770,no transition,188.2718138176347
2311,770,slow transition,245.33186043391413
2312,770,fast transition,227.8237926641915
2313,771,no transition,167.74664165044962
2314,771,slow transition,161.72906221654048
2315,771,fast transition,174.08751479103648
2316,772,no transition,199.46400809505474
2317,772,slow transition,154.04011950716998
2318,772,fast transition,339.3871009258996
2319,773,no transition,175.30547986780897
2320,773,slow transition,179.6461622434095
2321,773,fast transition,250.42254374467805
2322,774,no transition,190.4498597015918
2323,774,slow transition,165.36533652357014
2324,774,fast transition,240.36928165532245
2325,775,no transition,200.4805510388832
2326,775,slow transition,196.03265698206468
2327,775,fast transition,157.04536562708313
2328,776,no transition,190.43443015594812
2329,776,slow transition,291.00677444524325
2330,776,fast transition,222.1184734847003
2331,777,no transition,208.00149376505024
2332,777,slow transition,207.358632254254
2333,777,fast transition,242.7266616420078
2334,778,no transition,218.371992399751
2335,778,slow transition,215.29804393483357
2336,778,fast transition,244.9939082414475
2337,779,no transition,177.86175112974124
2338,779,slow transition,291.10985894854906
2339,779,fast transition,334.007023009615
2340,780,no transition,178.08663491393736
2341,780,slow transition,232.46671934697437
2342,780,fast transition,176.2993895914218
2343,781,no transition,210.15224988173216
2344,781,slow transition,225.49352071038237
2345,781,fast transition,273.3902077914186
2346,782,no transition,164.3969057749435
2347,782,slow transition,252.36260849345314
2348,782,fast transition,296.08743118790613
2349,783,no transition,188.58086752246894
2350,783,slow transition,170.01285791377228
2351,783,fast transition,314.7839939482089
2352,784,no transition,179.76983510556343
2353,784,slow transition,194.02831617197162
2354,784,fast transition,213.77086880443207
2355,785,no transition,161.92802676270549
2356,785,slow transition,232.21073647086982
2357,785,fast transition,152.69022632849232
2358,786,no transition,191.86839842655428
2359,786,slow transition,215.01974055623856
2360,786,fast transition,215.88782120303983
2361,787,no transition,162.88594928937312
2362,787,slow transition,201.61046089553585
2363,787,fast transition,228.15649566914556
2364,788,no transition,187.86419026175977
2365,788,slow transition,253.12474823455938
2366,788,fast transition,213.49327202281646
2367,789,no transition,175.819250724846
2368,789,slow transition,213.15862745836893
2369,789,fast transition,251.2641384297706
2370,790,no transition,170.982800479144
2371,790,slow transition,173.3520199597713
2372,790,fast transition,309.7513255419192
2373,791,no transition,185.47426220418637
2374,791,slow transition,168.91158514026856
2375,791,fast transition,201.14878408902382
2376,792,no transition,238.82173893842136
2377,792,slow transition,163.18081549336645
2378,792,fast transition,212.78948643481934
2379,793,no transition,169.331852196044
2380,793,slow transition,237.06267537063923
2381,793,fast transition,273.7224150539891
2382,794,no transition,168.9244920422665
2383,794,slow transition,265.75577761491706
2384,794,fast transition,228.91464929658116
2385,795,no transition,185.92592115389766
2386,795,slow transition,228.6146632088549
2387,795,fast transition,190.04240002285192
2388,796,no transition,167.68899528798792
2389,796,slow transition,187.7718731681327
2390,796,fast transition,261.036760100314
2391,797,no transition,189.53790576675806
2392,797,slow transition,203.35878237677306
2393,797,fast transition,252.8050479856615
2394,798,no transition,191.9338910669953
2395,798,slow transition,242.64278914594442
2396,798,fast transition,215.2908472808936
2397,799,no transition,190.13136152082396
2398,799,slow transition,184.6192445567551
2399,799,fast transition,241.34985632813527
2400,800,no transition,184.6209493519058
2401,800,slow transition,257.3483289108236
2402,800,fast transition,305.910988780548
2403,801,no transition,190.46810489672131
2404,801,slow transition,225.1000654963457
2405,801,fast transition,226.8219649986379
2406,802,no transition,165.6539511169481
2407,802,slow transition,212.91909865543445
2408,802,fast transition,184.5781974135545
2409,803,no transition,206.84755964682233
2410,803,slow transition,183.4322973541192
2411,803,fast transition,186.7384974324743
2412,804,no transition,184.547014094362
2413,804,slow transition,270.64279668894545
2414,804,fast transition,223.17137257127638
2415,805,no transition,171.09080563159543
2416,805,slow transition,202.67549688076943
2417,805,fast transition,158.43958182243463
2418,806,no transition,201.53930892088118
2419,806,slow transition,185.95501697775236
2420,806,fast transition,333.05000355469673
2421,807,no transition,155.093156196527
2422,807,slow transition,183.90943607653494
2423,807,fast transition,198.002801779128
2424,808,no transition,211.60345876069613
2425,808,slow transition,257.09756734284304
2426,808,fast transition,349.00356897026575
2427,809,no transition,172.29808717423407
2428,809,slow transition,206.2121212864905
2429,809,fast transition,177.1471734954595
2430,810,no transition,204.08359688377578
2431,810,slow transition,279.6162174349329
2432,810,fast transition,227.1320296789324
2433,811,no transition,188.15190068810205
2434,811,slow transition,198.18250289065475
2435,811,fast transition,197.57605032427438
2436,812,no transition,227.11419295432415
2437,812,slow transition,165.46938474821457
2438,812,fast transition,264.2375180897616
2439,813,no transition,186.53316134213895
2440,813,slow transition,286.45502251382936
2441,813,fast transition,199.47880993998487
2442,814,no transition,210.06533635877318
2443,814,slow transition,166.40759640280095
2444,814,fast transition,282.18391017922096
2445,815,no transition,160.31062785372902
2446,815,slow transition,298.7112942742449
2447,815,fast transition,164.53578169754994
2448,816,no transition,203.5205039116747
2449,816,slow transition,243.20769627981005
2450,816,fast transition,176.37587292455993
2451,817,no transition,200.31633362643885
2452,817,slow transition,179.04906764941236
2453,817,fast transition,228.2903776830315
2454,818,no transition,186.99860587178864
2455,818,slow transition,227.92749593326113
2456,818,fast transition,271.3703987892038
2457,819,no transition,202.63940367975843
2458,819,slow transition,221.5252320167921
2459,819,fast transition,272.7649137386874
2460,820,no transition,193.8705387027849
2461,820,slow transition,207.51644159804005
2462,820,fast transition,250.8199457377277
2463,821,no transition,190.75817946913878
2464,821,slow transition,209.50688998977984
2465,821,fast transition,271.7568943313657
2466,822,no transition,213.59344122914925
2467,822,slow transition,213.10698956195986
2468,822,fast transition,249.14646217535545
2469,823,no transition,180.52197992064774
2470,823,slow transition,279.6443045682429
2471,823,fast transition,285.68012853184086
2472,824,no transition,206.42593886458738
2473,824,slow transition,253.88589685545136
2474,824,fast transition,283.7258690469377
2475,825,no transition,189.0096859975794
2476,825,slow transition,206.9485964425688
2477,825,fast transition,276.5701509116715
2478,826,no transition,189.19588349744006
2479,826,slow transition,218.88454898221457
2480,826,fast transition,333.47819992657145
2481,827,no transition,171.4134508016173
2482,827,slow transition,245.04044592411574
2483,827,fast transition,235.8759167844165
2484,828,no transition,204.33047152184602
2485,828,slow transition,227.64358026722113
2486,828,fast transition,261.7910328528232
2487,829,no transition,181.57323489169832
2488,829,slow transition,195.65764483237362
2489,829,fast transition,290.19332553217885
2490,830,no transition,237.3420928941795
2491,830,slow transition,287.4238652345901
2492,830,fast transition,270.8017331523749
2493,831,no transition,194.53251139217204
2494,831,slow transition,212.82545091717307
2495,831,fast transition,226.54751021524814
2496,832,no transition,171.03726577184273
2497,832,slow transition,232.19777885453553
2498,832,fast transition,194.5376469098918
2499,833,no transition,167.80250579663658
2500,833,slow transition,182.9268344043149
2501,833,fast transition,227.04888773597693
2502,834,no transition,182.30267951427572
2503,834,slow transition,224.09801461022374
2504,834,fast transition,158.9014639598948
2505,835,no transition,216.3126280643073
2506,835,slow transition,198.45811842814825
2507,835,fast transition,246.35944187696268
2508,836,no transition,183.1354920338425
2509,836,slow transition,238.4427152136722
2510,836,fast transition,235.21053909896548
2511,837,no transition,186.24205013022592
2512,837,slow transition,219.20785475087635
2513,837,fast transition,189.12390654320686
2514,838,no transition,206.7574112636638
2515,838,slow transition,208.4202352313292
2516,838,fast transition,220.7091114454161
2517,839,no transition,205.2358923269587
2518,839,slow transition,217.38472777692579
2519,839,fast transition,191.1751741040604
2520,840,no transition,219.02533322599368
2521,840,slow transition,170.4277674609127
2522,840,fast transition,199.81778032006847
2523,841,no transition,174.39099807319442
2524,841,slow transition,232.05643230170475
2525,841,fast transition,218.42720750705408
2526,842,no transition,282.98520636328544
2527,842,slow transition,206.30505925976283
2528,842,fast transition,284.627349599167
2529,843,no transition,195.99399185325987
2530,843,slow transition,226.3175034769031
2531,843,fast transition,403.21806512028763
2532,844,no transition,229.61910874484767
2533,844,slow transition,174.5006925821779
2534,844,fast transition,337.7217756621255
2535,845,no transition,191.5845405332703
2536,845,slow transition,198.2437308392323
2537,845,fast transition,315.6767032497099
2538,846,no transition,219.28647860553895
2539,846,slow transition,196.92556509460348
2540,846,fast transition,201.5476463326938
2541,847,no transition,169.704545822718
2542,847,slow transition,220.42151160472625
2543,847,fast transition,209.49831382028444
2544,848,no transition,196.58329535631887
2545,848,slow transition,233.57358013718405
2546,848,fast transition,374.69971441160544
2547,849,no transition,174.42157712341955
2548,849,slow transition,178.6186925731606
2549,849,fast transition,183.92967984330136
2550,850,no transition,195.34333012237457
2551,850,slow transition,204.92302301203438
2552,850,fast transition,206.98355935467333
2553,851,no transition,250.62836128663122
2554,851,slow transition,201.8478314416588
2555,851,fast transition,166.23820900019726
2556,852,no transition,216.4672971995423
2557,852,slow transition,331.12363321408276
2558,852,fast transition,328.08442111368964
2559,853,no transition,191.65593066061476
2560,853,slow transition,197.23415361963959
2561,853,fast transition,212.7429786058721
2562,854,no transition,183.87827719600858
2563,854,slow transition,254.8255673529482
2564,854,fast transition,171.6628493654903
2565,855,no transition,162.18371787180183
2566,855,slow transition,204.1042705793595
2567,855,fast transition,296.4007598058195
2568,856,no transition,176.97512433842655
2569,856,slow transition,310.7824622799339
2570,856,fast transition,280.82121019606325
2571,857,no transition,258.3376188627623
2572,857,slow transition,183.12774358712156
2573,857,fast transition,211.11527586727544
2574,858,no transition,193.48413733982142
2575,858,slow transition,197.63362082348263
2576,858,fast transition,157.8145383369836
2577,859,no transition,228.7971520550862
2578,859,slow transition,384.73031772494636
2579,859,fast transition,276.53776798639393
2580,860,no transition,212.8164602777254
2581,860,slow transition,189.72177379790205
2582,860,fast transition,197.9343664060118
2583,861,no transition,168.0366151604088
2584,861,slow transition,234.9654719722357
2585,861,fast transition,245.23974592412907
2586,862,no transition,202.97777964029038
2587,862,slow transition,222.4667953663365
2588,862,fast transition,295.0952233238298
2589,863,no transition,191.87119459034082
2590,863,slow transition,188.9093663428255
2591,863,fast transition,247.95502348212415
2592,864,no transition,178.11805330877974
2593,864,slow transition,251.32986966145907
2594,864,fast transition,157.8961869546304
2595,865,no transition,181.1909012799614
2596,865,slow transition,204.8405270068646
2597,865,fast transition,202.88535386745306
2598,866,no transition,200.70141756237112
2599,866,slow transition,183.92066287272002
2600,866,fast transition,156.882078588278
2601,867,no transition,166.22575038637663
2602,867,slow transition,204.06631691673198
2603,867,fast transition,237.92638103396024
2604,868,no transition,189.6620662629761
2605,868,slow transition,173.72594556051516
2606,868,fast transition,308.65638254388955
2607,869,no transition,173.44993847378674
2608,869,slow transition,204.67847701748832
2609,869,fast transition,218.3978752377125
2610,870,no transition,164.71902860300344
2611,870,slow transition,231.42263464722691
2612,870,fast transition,189.54076343130825
2613,871,no transition,161.53843336995763
2614,871,slow transition,216.3306378536808
2615,871,fast transition,282.6810261917934
2616,872,no transition,194.7862851271358
2617,872,slow transition,192.51737545550864
2618,872,fast transition,228.74360946317842
2619,873,no transition,169.1159466994614
