Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Photovoltaics_2,0,1,-103.56382338083355,-102.09808747803383,,5.880298346279688,,,,,,,9.506588193036043,20.771698644781246,,,,,,,33
Photovoltaics_2,0,0,-57.56229893902833,-54.56928381609537,3.768506648905478,5.880298346279688,,,,,,,9.506588193036043,27.448935001972764,,,,,,,33
Photovoltaics_2,1,0,-64.12098755046097,-58.13495730459505,3.974917654432318,5.880298346279688,9.08178321995277,,,,,,9.506588193036043,28.830828567710675,-3.9549820079616493,,,,,,33
Photovoltaics_2,2,0,-107.3204883447292,-98.34144297593032,1.9148078689444485,5.880298346279688,7.118036252362857,8.739873864485409,,,,,9.506588193036043,11.53864213570117,36.52315600612867,7.330531369657733,,,,,33
Photovoltaics_2,3,0,-116.3580953618594,-104.38603487012756,1.929513908566938,5.880298346279688,7.1767137185927545,8.359895788412354,9.072178343594343,,,,9.506588193036043,11.683174025029263,38.46696870331463,25.82296230913743,-6.889182043781394,,,,33
Onshore_Gas_Pipeline,0,1,-31.071096981389843,-30.58619033160184,,1.5190270600153564,,,,,,,1.776613401326307,19.34588120239703,,,,,,,13
Onshore_Gas_Pipeline,0,0,-31.985081415488303,-30.85518270056523,3.4753236147341053,1.5190270600153564,,,,,,,1.776613401326307,16.831832325820205,,,,,,,13
Milk_(US),0,1,-459.9651091428741,-457.6213037210204,,5.81109776828194,,,,,,,7.028241597187251,15.40315640352472,,,,,,,78
Milk_(US),0,0,-180.26271334540422,-175.54929569202503,6.602438865502514,5.81109776828194,,,,,,,7.028241597187251,37.89078441640401,,,,,,,78
Milk_(US),1,0,-480.7063404883295,-471.2795051815711,3.3003411301278183,5.81109776828194,6.463448696143929,,,,,,7.028241597187251,10.258338197443317,52.47618061289112,,,,,,78
Transistor,0,1,-64.83482584502566,-63.25130690656955,,0.5431479942360623,,,,,,,9.755438023037494,44.56605223001632,,,,,,,37
Transistor,0,0,-43.33402328937678,-40.11218746408833,0.7815943560618572,0.5431479942360623,,,,,,,9.755438023037494,43.02564102249898,,,,,,,37
Transistor,1,0,-56.18505737284568,-49.74138572226878,1.0973441420307235,0.5431479942360623,2.609732987307508,,,,,,9.755438023037494,49.323458981924354,41.954145789973374,,,,,,37
Transistor,2,0,-79.23967685056698,-69.57416937470163,1.0555174324904875,0.5431479942360623,3.510880604039274,7.863581592515059,,,,,9.755438023037494,48.21660249427766,39.660235993162786,48.629290681113226,,,,,37
Transistor,3,0,-84.11997861886806,-71.23263531771427,1.1141830721715849,0.5431479942360623,2.732823334977093,7.100795064640802,7.591556985614776,,,,9.755438023037494,49.86015890703301,41.32058043072778,23.56071562050802,49.35432675779483,,,,37
Transistor,4,0,-85.08696733162952,-68.97778820518728,1.1141830721715824,0.5431479942360623,2.7328233349770894,7.127540655145115,7.7407767521380695,8.176644396985,,,9.755438023037494,49.86015890703299,41.32058043072776,21.22343973115981,61.729971576147925,46.84930660202221,,,37
Transistor,5,0,-78.44578859587023,-59.11477364413953,1.055517432490487,0.5431479942360623,2.9937986520672943,4.7503131338032425,5.467863876560091,7.011342314344902,7.531508662815657,,9.755438023037494,48.21660249427768,43.4685726499912,33.258283921001386,43.25478365614013,25.260621379700677,48.62929068111325,,37
Acrylonitrile,0,1,-43.56707989240714,-43.00213053494561,,2.5303838557017677,,,,,,,3.9451752033255616,21.023866367688193,,,,,,,14
Acrylonitrile,0,0,-48.78840627234948,-47.51029161311896,2.1915202780766547,2.5303838557017677,,,,,,,3.9451752033255616,19.444070660296685,,,,,,,14
Acrylonitrile,1,0,-45.19733021502881,-42.64110089656778,2.121552870167233,2.5303838557017677,3.41014479556505,,,,,,3.9451752033255616,18.107003732414128,21.5013471713706,,,,,,14
Geothermal_Electricity,0,1,-136.51812582766428,-135.29925000279607,,6.749824565866473,,,,,,,8.496649985985119,12.615223521757946,,,,,,,26
Geothermal_Electricity,0,0,-87.1510635973054,-84.63487052126243,3.4095087723354283,6.749824565866473,,,,,,,8.496649985985119,20.300694677778175,,,,,,,26
