Tech,n_breaks,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Cyclohexane,3,-88.45473514980736,-81.78902839735764,0.9431544933771331,1.9777825815576695,2.5881818016744567,2.8757228263704975,3.065105630905978,,,,3.485439313356928,5.812819550662662,27.112183956001356,-15.877372167264214,28.990748086009543,,,,17
Cyclohexane,4,-84.53790170668697,-76.2057682661248,0.9431544933771321,1.9777825815576695,2.5881818016744536,2.8757228263704984,3.0166158480000833,3.1218833205254737,,,3.485439313356928,5.812819550662773,27.112183956001445,-15.877372167264504,9.571306533643275,29.431014449863046,,,17
Cyclohexane,5,-80.45473514980739,-70.4561750211328,0.9431544933771309,1.9777825815576695,2.5881818016744558,2.875722826370497,3.047837777345568,3.0638287498719023,3.083650366147164,,3.485439313356928,5.812819550662651,27.112183956001346,-15.87737216726486,1.5753067862067316,16.399379115609026,28.990748086009066,,17
DRAM,0,2.2714552419056204,5.43849311881784,0.02366500215385123,-2.168832446932043,,,,,,,6.9390449806157095,39.07680694695501,,,,,,,36
DRAM,1,-26.471640818583992,-20.137565064759553,-0.021365510618903887,-2.168832446932043,4.26943184606725,,,,,,6.9390449806157095,35.82250984198427,48.687182657234644,,,,,,36
DRAM,2,-29.89622548660663,-20.39511185586997,-0.020408016186727503,-2.168832446932043,4.471006330502796,4.937598393776088,,,,,6.9390449806157095,35.36815384886415,68.75105090581117,42.297985771663626,,,,,36
DRAM,3,-35.190994488748785,-22.522842981099906,-0.4131512786080778,-2.168832446932043,-0.941812218256126,4.407674177847943,4.937598393776087,,,,6.9390449806157095,46.70228510495512,33.69578198782306,68.75105090581113,42.29798577166333,,,,36
DRAM,4,-38.88437215283452,-23.049182768273425,-0.41315127860807915,-2.168832446932043,-1.1421401901475394,3.700151651266599,4.2677319567762,4.889326544237969,,,6.9390449806157095,46.70228510495505,35.042882921423725,3.5832378666504905,72.57769645862162,42.29798577166341,,,36
DRAM,5,-35.41142170256667,-16.409194441093348,-0.41315127860807654,-2.168832446932043,-0.8746892559959627,0.4097375704731014,1.088071301874688,4.333904302353559,4.937598393776088,,6.9390449806157095,46.70228510495507,27.059604485467005,51.299435975785165,30.411123329676748,68.75105090581111,42.297985771663285,,36
DRAM,6,-30.884372152834473,-8.715107014448932,-0.413151278608079,-2.168832446932043,-1.1421401901475388,3.7001516512665984,4.262563837105511,4.27290007644689,4.822583455080858,4.9560696333950816,6.9390449806157095,46.7022851049551,35.04288292142371,3.5832378666508347,48.580453933376944,72.57769645862169,60.22158689542307,42.29798577166343,36
SodiumHydrosulfite,0,-38.16672334539183,-37.77227419071939,1.5727430239993705,1.8741373791721359,,,,,,,2.578456539191699,6.630847532860962,,,,,,,9
SodiumHydrosulfite,1,-39.16275777244525,-38.373859463100366,1.443161095026982,1.8741373791721359,2.433642643328468,,,,,,2.578456539191699,2.5590371489125796,26.914056590385627,,,,,,9
SodiumHydrosulfite,2,-35.16275777244512,-33.9794103084278,1.4431610950269764,1.8741373791721359,2.4244879886224022,2.442783572412039,,,,,2.578456539191699,2.559037148912491,15.601531522915657,26.914056590385695,,,,,9
SodiumHydrosulfite,3,-29.913875008679497,-28.33607838998974,0.48980694391270707,1.8741373791721359,1.8971457705761734,2.1968164256486333,2.2161618334574853,,,,2.578456539191699,-38.11783250905625,-0.9634907239818524,6.305949477918338,13.051985026610957,,,,9
SodiumHydrosulfite,4,-25.913875008679526,-23.94162923531733,1.2075286566184016,1.8741373791721359,2.028270796910381,2.190884688859425,2.1985532946821653,2.2317140232251123,,,2.578456539191699,-5.917318193864318,-0.8183223257330452,4.035004345078608,8.654693114927003,13.05198502661078,,,9
EthylAlcohol,0,-54.66079246575096,-53.24469206354654,1.075966039707676,2.9467213439105575,,,,,,,3.670055378360996,6.200050808329294,,,,,,,15
EthylAlcohol,1,-71.07870435575884,-68.24650355135,0.3223388264825345,2.9467213439105575,3.3664532474938276,,,,,,3.670055378360996,-10.69932668083493,23.726768177444068,,,,,,15
EthylAlcohol,2,-89.14723849266588,-84.89893728605261,0.22920664913569427,2.9467213439105575,3.290240462984215,3.631839547000659,,,,,3.670055378360996,-13.064003755523345,13.275531617640546,80.02129477807097,,,,,15
EthylAlcohol,3,-86.7697326942596,-81.10533108544192,0.06546573644455927,2.9467213439105575,3.1507115119305067,3.3533821152910974,3.6329988464980363,,,,3.670055378360996,-17.4043730887667,-3.0806295777786374,14.783235882372313,80.02129477807117,,,,15
EthylAlcohol,4,-83.51676386602944,-76.43626185500733,0.06546573644456448,2.9467213439105575,3.1507115119305054,3.366327251950765,3.497319688792695,3.630911613005455,,,3.670055378360996,-17.404373088766476,-3.080629577778349,18.30108756977985,10.811072729697491,80.02129477807107,,,15
EthylAlcohol,5,-78.76973269425955,-70.27313028103302,0.06546573644456243,2.9467213439105575,3.1449557973219124,3.156467226539103,3.3533821152910983,3.62539090858851,3.6406065484446244,,3.670055378360996,-17.40437308876661,-10.009620911874894,-3.080629577778393,14.783235882372592,58.73792408962939,80.02129477807112,,15
Ethanol_2,0,-52.89439457633232,-51.22796788821989,2.670203359234025,1.4359806059181257,,,,,,,2.9489483271477783,18.087520183913973,,,,,,,17
Ethanol_2,1,-72.50928498172638,-69.17643160550152,2.4241207950049244,1.4359806059181257,2.403511002906472,,,,,,2.9489483271477783,10.204754238984037,30.250471446174476,,,,,,17
Ethanol_2,2,-71.30151088184087,-66.30223081750357,2.4589051289907013,1.4359806059181257,2.5585339968034884,2.752339281144517,,,,,2.9489483271477783,11.405324290317454,48.015667295714294,11.031131493226553,,,,,17
Ethanol_2,3,-70.96123633208589,-64.29552957963617,2.087400482526305,1.4359806059181257,1.631888890818803,2.6080938417615047,2.7385722896937894,,,,2.9489483271477783,-4.707544417063625,13.73312872216772,56.41934888234945,11.031131493227974,,,,17
Ethanol_2,4,-66.96123633208589,-58.62910289152373,2.0874004825263404,1.4359806059181257,1.6318888908188072,2.5984576746124914,2.6177358478578103,2.7385722896937885,,,2.9489483271477783,-4.7075444170624925,13.733128722167475,38.69103683389393,56.41934888234966,11.031131493227274,,,17
Ethanol_2,5,-62.711047238700985,-52.71248711002639,2.339694366824816,1.4359806059181257,1.9176029075368624,1.9537445895979102,2.5999698014102894,2.626552688638593,2.738572289693788,,2.9489483271477783,6.870098020349536,11.055261039825016,15.052347091903162,39.155328707997185,56.41934888234934,11.031131493227164,,17
Monochrome_Television,0,-69.44473206000883,-67.35568718456199,3.2306144812277364,2.4249037501834367,,,,,,,4.103633168569454,18.80019728987875,,,,,,,21
Monochrome_Television,1,-88.31194064631687,-84.13385089542318,2.8515496392807753,2.4249037501834367,3.409239659640773,,,,,,4.103633168569454,11.074808469031517,26.956138654364082,,,,,,21
Monochrome_Television,2,-92.39795658365283,-86.13082195731229,2.881548830807312,2.4249037501834367,3.3632081024372154,3.9181897347242103,,,,,4.103633168569454,11.76899807937961,22.8238093849512,39.68639754484581,,,,,21
Monochrome_Television,3,-92.94017505240754,-84.58399555062016,3.808100196692858,2.4249037501834367,2.581039035527114,3.3078139315947865,3.9181897347242085,,,,4.103633168569454,31.758706972755935,8.26937785345655,22.823809384950987,39.686397544845754,,,,21
Monochrome_Television,5,-85.00285259434924,-72.46858334166816,3.8081001966927976,2.4249037501834367,2.5774285819611134,2.6051983788461968,3.227924279069605,3.3431679301370174,3.91818973472421,,4.103633168569454,31.758706972755625,20.487619612921616,7.35494076538118,15.442363785809842,22.823809384951577,39.686397544846066,,21
Polyvinylchloride,0,-46.63691462325444,-44.45482971653781,0.8051521655816565,2.485690702244294,,,,,,,4.266466386437016,23.571431053787062,,,,,,,22
Polyvinylchloride,1,-101.10902686108304,-96.74485704764977,-0.2254813059479873,2.485690702244294,3.3012585113008694,,,,,,4.266466386437016,2.58869341477892,34.49533512863788,,,,,,22
Polyvinylchloride,2,-97.98650655432292,-91.44025183417301,-0.3393542157628766,2.485690702244294,2.8120707999467256,3.311691082846113,,,,,4.266466386437016,-0.3427194776531417,4.248202647240696,34.49533512863789,,,,,22
Polyvinylchloride,3,-118.33298084386368,-109.60464121699715,-0.24137529685657086,2.485690702244294,3.283017855905816,3.4896875370780562,3.893989845581269,,,,4.266466386437016,2.1928622232441186,26.998799486182,41.16594601515282,25.05033359355303,,,,22
Polyvinylchloride,4,-117.80041160448542,-106.88998707090227,-0.24137529685657194,2.485690702244294,3.283017855905816,3.4896875370780576,3.918183639298053,4.11368017775383,,,4.266466386437016,2.1928622232441186,26.998799486182058,41.1659460151529,19.2295319684187,32.72031326800353,,,22
Polyvinylchloride,5,-85.28289196682323,-72.19038252652344,-0.27877497859922934,2.485690702244294,3.0782813392867863,3.3135904743079663,3.3280559716550915,3.3395509994758603,3.3448066471044506,,4.266466386437016,1.2429836920236248,9.021159095709619,16.185184652874618,22.790323927016985,28.882575918088506,34.49533512863787,,22
Nuclear_Electricity,0,-42.72831440786342,-40.73684986075544,-4.620083616873173,4.071279266590245,,,,,,,5.0338575376999115,-104.09040499439178,,,,,,,20
Nuclear_Electricity,1,-46.65089757596988,-42.66796848175392,-14.41245382869719,4.071279266590245,4.161420548762469,,,,,,5.0338575376999115,-951.0964206985026,-93.6106935438839,,,,,,20
Nuclear_Electricity,2,-39.31628545143412,-33.34189181011017,-7.431829756272339,4.071279266590245,4.2856846812788785,4.33536784747404,,,,,5.0338575376999115,-224.45880987525015,-144.89962810740232,-84.84881034875518,,,,,20
Nuclear_Electricity,3,-47.3926934478297,-39.42683525939778,-14.412453828697215,4.071279266590245,4.15210306394222,4.752191297909169,4.814651610761953,,,,5.0338575376999115,-951.096420698507,-96.81328325374201,-676.7636076412114,-8.934969126984704,,,,20
Nuclear_Electricity,4,-40.357055777458015,-30.399733041918108,-11.720001536363526,4.071279266590245,4.199836709396898,4.690057117983169,4.8179900008756436,4.840129587712623,,,5.0338575376999115,-566.0469797611199,-83.1147027776221,-256.1611079052499,-96.9636196511442,-8.934969126997627,,,20
PolyethyleneLD,0,-56.665008374785046,-55.248907972580625,2.6986138740929317,2.9845443890474828,,,,,,,4.533373386035311,22.679849010366894,,,,,,,15
PolyethyleneLD,1,-62.347784806892676,-59.515584002483834,1.5749952542854424,2.9845443890474828,3.2698283329884776,,,,,,4.533373386035311,1.1902097776914422,24.668020556728987,,,,,,15
PolyethyleneLD,2,-58.34778480689266,-54.0994836002794,1.5749952542854384,2.9845443890474828,3.2602738522681585,3.2793828138123025,,,,,4.533373386035311,1.1902097776913978,13.724064334936726,24.668020556729044,,,,,15
PolyethyleneLD,3,-54.34778480689269,-48.683383198075006,0.23837042610605988,2.9845443890474828,3.026893187729474,3.047697740106105,3.2798322646753357,,,,4.533373386035311,-34.77704192043278,-10.945458735911062,8.668875470155369,24.668020556729044,,,,15
PolyethyleneLD,4,-50.34778480689272,-43.267282795870614,0.21749632520921922,2.9845443890474828,3.0102003866693616,3.0174370103013515,3.147689878975865,3.2906364700096886,,,4.533373386035311,-35.43201621268703,-16.95959539804617,-1.0067436645954997,12.770199867604138,24.668020556729044,,,15
PolyethyleneLD,5,-88.40733728392297,-79.91073487069644,0.3969620041067793,2.9845443890474828,3.13002758299606,3.9404932692578627,4.128506618490004,4.266883514562819,4.429176423633706,,4.533373386035311,-29.903216158366085,25.767463188245166,-1.7935731453714077,58.48703527422674,1.8960285216358619,26.39287744570551,,15
Solar_Thermal_Electricity,0,-13.298949071259898,-13.715430132803789,0.8352592359786768,1.4027714750855362,,,,,,,2.4552708300770836,4.708184761515966,,,,,,,6
Solar_Thermal_Electricity,1,-14.96196793997045,-15.79493006305823,0.4948553370895991,1.4027714750855362,2.0150884525261197,,,,,,2.4552708300770836,-10.127298143841523,23.593575022390635,,,,,,6
Solar_Thermal_Electricity,2,-10.961967939970457,-12.211411124602126,0.4948553370895972,1.4027714750855362,1.9951307034366514,2.0350461184507873,,,,,2.4552708300770836,-10.127298143841612,8.269745706886955,23.593575022390567,,,,,6
Solar_Thermal_Electricity,3,-6.961967939970464,-8.627892186146024,0.49485533708959395,1.4027714750855362,1.9938078640304906,1.9999650940303477,2.0514923811589534,,,,2.4552708300770836,-10.127298143841745,2.507031724599207,13.691891491843045,23.59357502239048,,,,6
Solar_Thermal_Electricity,4,-2.9619679399704566,-5.044373247689908,0.3132951342177554,1.4027714750855362,1.4784582596098383,2.021401825904518,2.031288737306594,2.0544245428254735,,,2.4552708300770836,-20.463974392881056,-7.33203234215305,4.1643927565638394,14.42906787981112,23.59357502239059,,,6
Polypropylene,0,-37.806563999915696,-37.41211484524326,-0.04451720532358668,1.4928115977940668,,,,,,,3.3731150557557097,14.165166515769334,,,,,,,9
Polypropylene,1,-37.06612462371666,-36.27722631437178,-0.24712647537332233,1.4928115977940668,1.9262152418853313,,,,,,3.3731150557557097,6.904499494003835,15.511785772533804,,,,,,9
Polypropylene,2,-53.31701371499284,-52.13366625097552,-0.1838671150512339,1.4928115977940668,2.3231542402120957,3.04336255485289,,,,,3.3731150557557097,9.397957937184653,20.670451162803737,1.6106266057695384,,,,,9
Polypropylene,3,-53.41050239425667,-51.83270577556691,-0.2471264753733218,1.4928115977940668,1.9791944332878475,2.426843051236629,3.0433625548528895,,,,3.3731150557557097,6.904499494003902,14.062673695083195,20.670451162803804,1.610626605769605,,,,9
Polypropylene,4,-49.41050239425664,-47.43825662089444,-0.2471264753733225,1.4928115977940668,1.9791944399587158,2.4268430565605454,3.02911458238236,3.057610527323418,,,3.3731150557557097,6.904499494003868,14.062673879316524,20.670451162803737,11.653044185219741,1.6106266057696161,,,9
Polypropylene,5,-41.31701371499284,-38.950318786958206,-0.18386711505123307,1.4928115977940668,2.24377365474228,2.300516080054583,2.356348855658878,2.391982073290437,3.043362554852889,,3.3731150557557097,9.397957937184675,12.358076479117774,15.221436290527269,17.991202419868955,20.670451162803772,1.6106266057696383,,9
Polypropylene,6,-35.41245177261675,-32.65130768990967,-0.247126475373322,1.4928115977940668,1.9571398388723749,2.1314278197145393,2.1648777131164216,2.2200782310070637,3.002363857239287,3.0714673188979416,3.3731150557557097,6.904499494003891,10.105527656267533,13.204069587776212,16.197213314287005,19.089376560956183,11.675587206835347,3.6539030646119186,9
Laser_Diode,0,-17.230452029104697,-16.260638729528697,3.555480287125348,-0.01240241993529162,,,,,,,3.9243243596789674,21.985403377442047,,,,,,,12
Laser_Diode,1,-25.203731320030087,-23.264104720878088,3.456065735566728,-0.01240241993529162,2.152757055868389,,,,,,3.9243243596789674,15.094638922725212,29.319184946438714,,,,,,12
Laser_Diode,2,-30.485217400938282,-27.57577750221028,3.456065735566729,-0.01240241993529162,2.444384625149489,3.356107768761114,,,,,3.9243243596789674,15.094638922725212,38.32853003610553,12.964952879369996,,,,,12
Laser_Diode,3,-27.664674098501393,-23.78542090019739,3.456065735566728,-0.01240241993529162,2.4844362581880524,2.745140624973809,3.615747945240638,,,,3.9243243596789674,15.094638922725256,46.73689625386643,32.11385148355011,4.440892098500626e-14,,,,12
Laser_Diode,4,-23.190445383709715,-18.341378885829712,3.4560657355667264,-0.01240241993529162,2.4352809717646036,2.4421393582264637,3.2906082257112956,3.71343493254251,,,3.9243243596789674,15.094638922725267,27.338833478166936,37.816917028264015,21.841987427478593,-6.217248937900877e-13,,,12
Laser_Diode,5,-18.3972792280193,-12.578399430563294,3.4560657355667277,-0.01240241993529162,2.3941262497964306,2.4932926937158872,3.3086172269850898,3.366619392460678,3.3932535844245675,,3.9243243596789674,15.09463892272529,27.48045967977437,38.32853003610555,30.807358864666046,22.3919751743041,12.964952879370085,,12
Trichloroethane,0,-23.842772673342054,-23.950952375231427,1.4187479936683591,2.235034247799735,,,,,,,3.3116064696367618,9.89973191383805,,,,,,,7
Trichloroethane,1,-41.1559985492285,-41.372357953007246,1.1073923616012145,2.235034247799735,2.9618894423014646,,,,,,3.3116064696367618,1.8824371502252357,25.771776221183796,,,,,,7
Trichloroethane,2,-48.44929670342208,-48.7738358090902,1.1073923616012111,2.235034247799735,2.9861391788037754,3.1237216007327646,,,,,3.3116064696367618,1.882437150225147,34.1332437589437,19.810982821268286,,,,,7
Trichloroethane,3,-34.71121173859663,-35.143930546154124,0.2546253789569478,2.235034247799735,2.2885004208708386,2.316598545065455,2.993032150667093,,,,3.3116064696367618,-27.722448258455668,-9.956110731069678,5.3389090778570125,25.771776221183597,,,,7
Trichloroethane,4,-30.711211738596518,-31.252110248043387,0.22918903019974773,2.235034247799735,2.29048685592627,2.3002103302321997,2.3117543378631895,2.993032150667093,,,3.3116064696367618,-28.733975033349957,-16.19456884442676,-4.876599297837658,5.338909077857268,25.771776221183686,,,7
Trichloroethane,5,-10.16224519222041,-10.811323403556653,0.21976125679213943,2.235034247799735,2.2624686525672697,2.392554460702753,2.433964721389718,2.510618724742852,2.5350401884023297,,3.3116064696367618,-29.110920607121372,-18.603044490602414,-8.970891933808467,-0.1270027996501666,7.9889189651778825,15.44400418831049,,7
Electric_Power,0,-124.5294340850767,-121.79484242510375,0.400509131411548,2.609651560610097,,,,,,,4.1591776441939015,19.33973446635273,,,,,,,29
Electric_Power,1,-152.00740194460644,-146.53821862466054,1.4545972417184034,2.609651560610097,2.909355320661259,,,,,,4.1591776441939015,37.68856039453844,17.340293285908224,,,,,,29
