Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Transistor,5,0,-76.30295495953237,-56.97194000780168,0.7192716622676488,0.5431479942360623,0.5921564153001615,2.5916610392270334,2.8143037484408153,7.100795064640809,7.591556985614772,,9.755438023037494,19.185842140323018,50.18269141423781,45.93219724923955,41.32058043072778,23.56071562050812,49.354326757795164,,37
Transistor,6,0,-77.08696733162964,-54.5341165546105,1.1141830721715742,0.5431479942360623,2.7270769788431335,2.738574501109717,7.127540655145115,7.693801517380003,7.787750644088015,8.176644396985006,9.755438023037494,49.86015890703289,45.75637954034332,41.32058043072766,21.223439731160198,45.092693477295576,61.72997157614788,46.849306602022125,37
CarbonDisulfide,0,1,-38.329047616114806,-38.131823038778585,,2.964880919887962,,,,,,,3.876086059583858,4.102102756620141,,,,,,,10
CarbonDisulfide,0,0,-40.51686509748278,-39.911694911494685,0.8808382404832987,2.964880919887962,,,,,,,3.876086059583858,5.507519516115966,,,,,,,10
CarbonDisulfide,1,0,-52.7589347177169,-51.54859434574071,0.6480681181415203,2.964880919887962,3.717099580827366,,,,,,3.876086059583858,0.742776214138674,32.41982998656222,,,,,,10
CarbonDisulfide,2,0,-55.542897394948284,-53.72738683698401,0.6953266428277581,2.964880919887962,3.6102544106531345,3.672317260373048,,,,,3.876086059583858,1.7328163554554132,-53.313816199525,34.886421060727265,,,,,10
CarbonDisulfide,3,0,-29.534103816603036,-27.11342307265067,0.09239210384230706,2.964880919887962,3.042300337965803,3.1030592221040445,3.137720366942223,,,,3.876086059583858,-13.147969670900817,-5.884359445215681,0.9129750820255245,7.273957958741583,,,,10
CarbonDisulfide,5,0,-21.534103816603036,-17.903082700674485,0.08102930325076543,2.964880919887962,2.9857670883545278,3.0607841314428677,3.0931201674576934,3.1323773263107957,3.191224366172736,,3.876086059583858,-13.448942525540698,-8.963431662078358,-4.655256422929743,-0.5174123595062197,3.4568356351626472,7.273957958741651,,10
Primary_Aluminum,0,1,-146.3391897884568,-144.7016036287304,,2.6877544477235684,,,,,,,4.606324956021417,11.035426400489056,,,,,,,39
Primary_Aluminum,0,0,-85.26897797908444,-81.94185468682515,0.26275669561028797,2.6877544477235684,,,,,,,4.606324956021417,13.830001611692666,,,,,,,39
Primary_Aluminum,1,0,-121.69418451395558,-115.03993792943699,0.9329393821156687,2.6877544477235684,3.6748229684680416,,,,,,4.606324956021417,25.694222198316897,-0.5181153137478578,,,,,,39
Primary_Aluminum,2,0,-140.24928524820334,-130.26791537142546,0.987153287046762,2.6877544477235684,3.7557645577743135,4.16196123240237,,,,,4.606324956021417,26.625813638157013,-24.521895244310766,19.021511952958758,,,,,39
Primary_Aluminum,3,0,-158.49921610699718,-145.19072293796,-1.5964698209146446,2.6877544477235684,2.8472405576815185,3.7398344133263137,4.158337676543221,,,,4.606324956021417,-38.59505944593089,29.168098943761812,-25.910108749522998,19.021511952958768,,,,39
Primary_Aluminum,4,0,-160.87331814502366,-144.2377016837272,-1.5964698209146329,2.6877544477235684,2.8472405576815194,3.740198792625018,4.211191130280897,4.354521389352968,,,4.606324956021417,-38.59505944593056,29.16809894376189,-26.106903427981187,41.19376778705456,6.106055633417484,,,39
Primary_Aluminum,5,0,-162.06874225487573,-142.10600250131998,0.06578138532445643,2.6877544477235684,3.1362765154806613,3.2661619687051346,3.766843553675875,4.212907961937847,4.354521389352968,,4.606324956021417,8.46231592397233,64.09103482883258,20.040332906893866,-25.07942051808445,41.19376778705478,6.1060556334176175,,39
Primary_Aluminum,6,0,-158.15436379770557,-134.86450075189052,0.06578138532445833,2.6877544477235684,3.136276515480662,3.2661619687051324,3.7668435536758746,4.203662223669583,4.4185003330666754,4.474167130838017,4.606324956021417,8.462315923972374,64.09103482883303,20.040332906894132,-25.079420518084273,34.55430062056746,-36.52682222532195,12.54804114836251,39
Acrylonitrile,0,1,-43.56707989240714,-43.00213053494561,,2.5303838557017677,,,,,,,3.9451752033255616,21.023866367688203,,,,,,,14
Acrylonitrile,0,0,-48.78840627234948,-47.51029161311896,2.1915202780766547,2.5303838557017677,,,,,,,3.9451752033255616,19.444070660296685,,,,,,,14
Acrylonitrile,1,0,-46.80723126017028,-44.25100194170925,2.5898557150017303,2.5303838557017677,2.9284210880184176,,,,,,3.9451752033255616,27.05125175993515,17.74333557584089,,,,,,14
Acrylonitrile,2,0,-59.73892800327644,-55.904584025584896,2.7330239945915347,2.5303838557017677,3.125808557847302,3.2936325059335894,,,,,3.9451752033255616,29.733173855219974,-36.66388210301721,25.43255495208856,,,,,14
Acrylonitrile,3,0,-60.2617114220879,-55.14925278516583,0.543606161058703,2.5303838557017677,2.611074909003036,3.0959801220171688,3.2936325059335902,,,,3.9451752033255616,-27.43368296022446,37.47660470238626,-36.66388210301734,25.43255495208835,,,,14
Acrylonitrile,4,0,-56.26171142208784,-49.87113812593526,0.3796118948939331,2.5303838557017677,2.596287847294052,2.616284562982453,3.0959801220171683,3.2936325059335885,,,3.9451752033255616,-33.28890476447776,8.710722423900318,37.4766047023862,-36.66388210301763,25.432554952088495,,,14
Acrylonitrile,5,0,-52.42806983329669,-44.75938187791359,0.559700553610433,2.5303838557017677,2.6208051459961763,2.9848950140013857,3.12047163892963,3.143765285726591,3.293632505933589,,3.9451752033255616,-26.87309871833272,39.6880761565699,20.78269946447667,-4.048756940020093,-36.663882103017364,25.43255495208856,,14
Acrylonitrile,6,0,-48.42806983329663,-39.481267218683016,0.38794111520784386,2.5303838557017677,2.598829288597589,2.632020205396346,2.9848950140081327,3.1240050827476322,3.1402318419297126,3.293632505933589,3.9451752033255616,-32.98513674571748,10.44225639445877,39.688076156569885,20.782699460470788,-4.04875694333664,-36.66388210301752,25.432554952088505,14
Photovoltaics_4,0,1,-102.074453295089,-100.77861642908468,,0.3209608969751543,,,,,,,3.2405627071881495,28.320575538687386,,,,,,,28
Photovoltaics_4,0,0,-64.81851527647298,-62.154106256122574,1.8252410023935821,0.3209608969751543,,,,,,,3.2405627071881495,25.05771483494067,,,,,,,28
Photovoltaics_4,1,0,-119.84802264815966,-114.51920460745885,2.2017790825228865,0.3209608969751543,0.895875708970046,,,,,,3.2405627071881495,48.706872734663655,21.281660241974453,,,,,,28
