Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Fotovoltaica,5,0,-87.2173889696374,-72.59087907121899,1.3586049304447185,-2.636811563395229,-2.3353959078574142,-1.68361239458828,-1.249808842412609,-0.40769927817782087,-0.0438154688909727,,1.1099902986396113,40.62095751016418,5.071194329774187,21.366774076244067,41.38502357989091,66.55649899207418,26.467936857707073,,25
Crude_Oil,0,1,-37.063685226375654,-36.76110013338161,,2.0019857758304167,,,,,,,2.0879881861690346,-86.82442503189975,,,,,,,11
Crude_Oil,0,0,-44.81095219262875,-44.015161647032,0.23954991821945956,2.0019857758304167,,,,,,,2.0879881861690346,-8.805774706983538,,,,,,,11
Photovoltaics_2,0,1,-40.96156078984683,-40.25351058874462,,5.880298346279688,,,,,,,8.260680282952482,20.978560777485512,,,,,,,16
Photovoltaics_2,0,0,-25.433044105172815,-23.887866660693252,3.5851485335894617,5.880298346279688,,,,,,,8.260680282952482,25.997433692718907,,,,,,,16
Photovoltaics_2,1,0,-48.462134713515084,-45.37177982455596,1.9148078689444683,5.880298346279688,7.1524492337049255,,,,,,8.260680282952482,11.538642135701338,37.618374826389896,,,,,,16
Photovoltaics_2,2,0,-49.20607714183488,-44.57054480839619,1.929513908566955,5.880298346279688,7.261418332657702,7.912141621219379,,,,,8.260680282952482,11.68317402502942,43.57732772864337,26.49545363045376,,,,,16
Onshore_Gas_Pipeline,0,1,-11.770171269507326,-12.160733357073227,,1.5190270600153564,,,,,,,1.6916432391433927,20.981533723687782,,,,,,,6
Onshore_Gas_Pipeline,0,0,-16.80038937598789,-17.21687043753178,4.541840803178252,1.5190270600153564,,,,,,,1.6916432391433927,48.20119877629059,,,,,,,6
Titanium_Sponge,0,1,-21.235011563149193,-21.15557002146936,,2.8240889861252847,,,,,,,4.729188638049377,15.27377532000399,,,,,,,9
Titanium_Sponge,0,0,-16.76714051162464,-16.3726913569522,1.6473563553392274,2.8240889861252847,,,,,,,4.729188638049377,17.434144984327148,,,,,,,9
