Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Photovoltaics_2,0,1,-40.96156078984683,-40.25351058874462,,5.880298346279688,,,,,,,8.260680282952482,20.978560777485512,,,,,,,16
Photovoltaics_2,0,0,-25.433044105172815,-23.887866660693252,3.5851485335894617,5.880298346279688,,,,,,,8.260680282952482,25.997433692718907,,,,,,,16
Photovoltaics_2,1,0,-48.462134713515084,-45.37177982455596,1.9148078689444716,5.880298346279688,7.152449233704925,,,,,,8.260680282952482,11.538642135701371,37.618374826389925,,,,,,16
Photovoltaics_2,2,0,-49.20607714183488,-44.57054480839619,1.9295139085669542,5.880298346279688,7.261418332657702,7.912141621219381,,,,,8.260680282952482,11.68317402502942,43.577327728643354,26.495453630453724,,,,,16
Onshore_Gas_Pipeline,0,1,-11.770171269507326,-12.160733357073227,,1.5190270600153564,,,,,,,1.6916432391433927,20.981533723687782,,,,,,,6
Onshore_Gas_Pipeline,0,0,-16.80038937598789,-17.21687043753178,4.541840803178252,1.5190270600153564,,,,,,,1.6916432391433927,48.20119877629059,,,,,,,6
Wind_Electricity,0,1,-31.69472714693692,-31.392142053942873,,3.7278706520395737,,,,,,,7.138969926599091,3.5095430109206793,,,,,,,11
Wind_Electricity,0,0,-27.49575501041248,-26.69996446481574,1.8980082798170141,3.7278706520395737,,,,,,,7.138969926599091,8.260536539511055,,,,,,,11
Wind_Electricity,1,0,-25.268158905032564,-23.67657781383908,1.838737076411127,3.7278706520395737,6.8626785346436865,,,,,,7.138969926599091,7.389452299697286,26.141075117848224,,,,,,11
Milk_(US),0,1,-224.34035680718284,-222.70277064745645,,5.81109776828194,,,,,,,6.703464572619577,10.73320488389422,,,,,,,39
Milk_(US),0,0,-119.09018619102972,-115.76306289877043,4.733527491246677,5.81109776828194,,,,,,,6.703464572619577,23.66396304463837,,,,,,,39
Milk_(US),1,0,-222.05171725096307,-215.3974706664445,3.3003411301278707,5.81109776828194,6.46407588747157,,,,,,6.703464572619577,10.258338197443672,52.50243676234872,,,,,,39
Transistor,0,1,-28.90110776742597,-28.067894423369754,,0.5431479942360623,,,,,,,5.6616995958527845,44.49249444484417,,,,,,,18
Transistor,0,0,-26.824289174918494,-25.043545659126167,0.9049577793205199,0.5431479942360623,,,,,,,5.6616995958527845,45.02956962583191,,,,,,,18
Transistor,1,0,-40.71975230342355,-37.158265271838886,1.1141830721715762,0.5431479942360623,2.6988231489248733,,,,,,5.6616995958527845,49.86015890703294,41.6971840279659,,,,,,18
Transistor,2,0,-37.18143391841758,-31.839203371040597,1.1121987509173834,0.5431479942360623,1.951277171130753,4.499387732148705,,,,,5.6616995958527845,50.07614198246093,45.30767048706392,36.201949038372064,,,,,18
Transistor,3,0,-20.626868304685118,-13.503894241515802,1.1355606541873482,0.5431479942360623,1.4168982878451928,2.6035509246785997,3.526922398966823,,,,5.6616995958527845,51.06283658808146,53.274718610325536,38.33385155411543,40.20576678294775,,,,18
Photovoltaics_4,0,1,-43.80063247645156,-43.235683118990025,,0.3209608969751543,,,,,,,2.152758852144069,31.816501285549137,,,,,,,14
Photovoltaics_4,0,0,-33.85541669235622,-32.577302033125704,1.9391478937217197,0.3209608969751543,,,,,,,2.152758852144069,30.548127168297246,,,,,,,14
Photovoltaics_4,1,0,-66.78215835164059,-64.22592903317955,2.2398474540558944,0.3209608969751543,0.7556065613240175,,,,,,2.152758852144069,51.698060871575265,25.471431915504915,,,,,,14
Photovoltaics_4,2,0,-64.41500380464754,-60.580659826955994,2.201779082522885,0.3209608969751543,0.8437228201712863,1.8943914416598426,,,,,2.152758852144069,48.7068727346636,23.56906056744078,33.34919693684184,,,,,14
Photovoltaics_4,3,0,-72.99320251597189,-67.88074387904982,2.239847454055894,0.3209608969751543,0.7231118656384955,1.1889632736186018,1.8191221172478935,,,,2.152758852144069,51.69806087157536,30.11345651383327,20.98357528221806,33.349196936841686,,,,14
Geothermal_Electricity,0,1,-67.94254966978406,-67.45764301999606,,6.749824565866473,,,,,,,8.08543949080135,10.836553603020471,,,,,,,13
Geothermal_Electricity,0,0,-65.97227583532157,-64.8423771203985,2.6492216980857637,6.749824565866473,,,,,,,8.08543949080135,14.433761660549338,,,,,,,13
Solar_Thermal,0,1,-3.4478211079183936,-4.349208819250284,,1.843819745203394,,,,,,,2.2523535870463482,-2.3065680496256347,,,,,,,4
Solar_Thermal,0,0,-7.201468757024703,-8.428880034784921,4.008194295021079,1.843819745203394,,,,,,,2.2523535870463482,5.549186755960179,,,,,,,4
DRAM,0,1,-18.671733715692582,-17.838520371636367,,-2.168832446932043,,,,,,,3.03535078909289,35.76290166334607,,,,,,,18
DRAM,0,0,-16.029680225320018,-14.248936709527689,-0.02649054621208607,-2.168832446932043,,,,,,,3.03535078909289,36.54470885544898,,,,,,,18
DRAM,1,0,-27.82840523080133,-24.266918199216672,-0.05536057802451861,-2.168832446932043,2.481169221876609,,,,,,3.03535078909289,38.37439751720731,-13.552215529650379,,,,,,18
DRAM,2,0,-26.876539120394682,-21.534308573017697,-0.34100404823487007,-2.168832446932043,-1.2973759713497293,2.5244491927954837,,,,,3.03535078909289,45.303443670937526,37.24022484322925,-13.55221552965029,,,,,18
DRAM,3,0,-33.042615892905104,-25.919641829735788,-0.34100404823487396,-2.168832446932043,-1.0774476291133328,1.8685953691556243,2.3216731056151714,,,,3.03535078909289,45.303443670937604,35.48988739070149,56.973058047172145,-13.552215529650313,,,,18
DRAM,4,0,-28.132222678715152,-19.228505099753505,0.19694132207144774,-2.168832446932043,-1.8450648601645654,-1.12595439416229,0.44509299188180984,2.4203318172106547,,,3.03535078909289,34.4307227226891,51.884288338188064,30.89695490045754,41.40411051837846,-13.552215529650224,,,18
Monochrome_Television,0,1,-33.73773929742188,-33.54051472008566,,2.4249037501834367,,,,,,,3.7427261950203374,13.225688207454944,,,,,,,10
Monochrome_Television,0,0,-38.30564423907482,-37.70047405308673,3.037367651879278,2.4249037501834367,,,,,,,3.7427261950203374,15.132301465355646,,,,,,,10
Monochrome_Television,1,0,-44.578715103037496,-43.36837473106131,2.881548830807312,2.4249037501834367,3.4165759752674654,,,,,,3.7427261950203374,11.768998079379534,27.575370142754828,,,,,,10
Nuclear_Electricity,0,1,-14.699439217407644,-14.502214640071424,,4.071279266590245,,,,,,,4.724706070559086,-108.72765021561919,,,,,,,10
Nuclear_Electricity,0,0,-22.53894820978507,-21.933778023796975,-5.1511202214484895,4.071279266590245,,,,,,,4.724706070559086,-122.11009199742495,,,,,,,10
Solar_Thermal_Electricity,0,1,-14.7430166581657,-16.049869477605757,,1.4027714750855362,,,,,,,2.061752740976682,-9.329615302337535,,,,,,,3
Solar_Thermal_Electricity,0,0,-25.624802751458013,-27.427578174121795,0.5110825044284513,1.4027714750855362,,,,,,,2.061752740976682,-9.311983805515567,,,,,,,3
Laser_Diode,0,1,-4.7177839734978475,-5.108346061063747,,-0.01240241993529162,,,,,,,2.7787818557217725,15.868971513247065,,,,,,,6
Laser_Diode,0,0,-9.200705532964498,-9.61718659450839,3.479051570312239,-0.01240241993529162,,,,,,,2.7787818557217725,17.32043450190731,,,,,,,6
Electric_Power,0,1,-57.22037906514029,-56.655429707678756,,2.609651560610097,,,,,,,3.511088016301193,26.458952859367933,,,,,,,14
Electric_Power,0,0,-61.490846426034636,-60.21273176680412,0.6436269916316305,2.609651560610097,,,,,,,3.511088016301193,23.622607942225336,,,,,,,14
Electric_Power,1,0,-61.352937715662165,-58.79670839720113,0.8038658254533485,2.609651560610097,3.2064882281877547,,,,,,3.511088016301193,26.511599708714016,16.728111557864377,,,,,,14
Shotgun_Sanger_DNA_Sequencing,0,1,-32.46480055528386,-32.066905282485486,,7.510554661087867,,,,,,,8.945903241091582,26.08990774939063,,,,,,,12
Shotgun_Sanger_DNA_Sequencing,0,0,-34.72233765663873,-33.752524357062725,4.729173176595459,7.510554661087867,,,,,,,8.945903241091582,31.32323390943894,,,,,,,12
Shotgun_Sanger_DNA_Sequencing,1,0,-31.698061795673468,-29.758435196521468,4.99912685185876,7.510554661087867,8.607159275387207,,,,,,8.945903241091582,32.91318449823842,24.691993619173903,,,,,,12
