Tech,Normalized cumulative production,Normalized unit cost
Fotovoltaica,17385000.0,0.0013858336999560052
Fotovoltaica,22292056.45,0.0015398152221733391
Fotovoltaica,30540000.0,0.001570611526616806
Fotovoltaica,42480000.0,0.001605807303123625
Fotovoltaica,60340000.0,0.0015794104707435106
Crude_Oil,1.0,1.0
Crude_Oil,1.0888676540850453,1.2575757575757573
Crude_Oil,1.1853798375537505,1.2499999999999998
Crude_Oil,1.2732919254658384,1.2234848484848484
Crude_Oil,1.3674151935021501,1.140151515151515
Crude_Oil,1.4749163879598663,1.1174242424242424
Crude_Oil,1.5843287147634972,1.1666666666666667
Crude_Oil,1.69708552317248,1.1931818181818181
Crude_Oil,1.8093645484949832,1.1704545454545454
Crude_Oil,1.9259436215957957,1.1325757575757576
Crude_Oil,2.051122790253225,1.2007575757575757
Crude_Oil,2.1763019589106545,1.1477272727272727
Crude_Oil,2.2933588150979456,1.0984848484848484
Crude_Oil,2.4161490683229814,1.0795454545454546
Crude_Oil,2.5384615384615388,1.0681818181818181
Crude_Oil,2.663640707118968,1.0568181818181819
Crude_Oil,2.79168657429527,1.0378787878787878
Crude_Oil,2.923076923076923,1.0189393939393938
Crude_Oil,3.0563784042044913,0.9962121212121211
Crude_Oil,3.1925465838509313,0.981060606060606
Crude_Oil,3.3373148590539894,0.962121212121212
Crude_Oil,3.491161012900143,0.9356060606060607
Photovoltaics_2,1.0,1.0
Photovoltaics_2,2.3125,0.7682775712515489
Photovoltaics_2,4.9375,0.6939281288723668
Photovoltaics_2,8.8125,0.6926889714993804
Photovoltaics_2,16.625,0.6146220570012392
Photovoltaics_2,27.5625,0.543990086741016
Photovoltaics_2,43.8125,0.3853779429987608
Photovoltaics_2,69.4375,0.33085501858736055
Photovoltaics_2,94.4375,0.25898389095415114
Photovoltaics_2,118.5,0.19206939281288724
Photovoltaics_2,140.6875,0.1449814126394052
Photovoltaics_2,167.875,0.13506815365551425
Photovoltaics_2,202.5625,0.1400247831474597
Photovoltaics_2,246.625,0.13878562577447337
Photovoltaics_2,292.875,0.12118959107806691
Photovoltaics_2,346.3125,0.09615861214374226
Photovoltaics_2,402.875,0.08004956629491945
Photovoltaics_2,473.0,0.07472118959107807
Photovoltaics_2,553.125,0.07125154894671623
Photovoltaics_2,661.71875,0.06741016109045848
Photovoltaics_2,783.125,0.06654275092936802
Photovoltaics_2,942.5,0.056629491945477076
Photovoltaics_2,1110.3125,0.05105328376703841
Photovoltaics_2,1300.3125,0.05328376703841388
Photovoltaics_2,1534.59375,0.047459727385377945
Photovoltaics_2,1848.03125,0.04237918215613383
Photovoltaics_2,2224.90625,0.03667905824039653
Photovoltaics_2,2546.78125,0.04076827757125155
Photovoltaics_2,2980.21875,0.04163568773234201
Photovoltaics_2,3458.65625,0.044733581164807926
Photovoltaics_2,4013.65625,0.043866171003717466
Photovoltaics_2,4854.59375,0.04337050805452292
Photovoltaics_2,6108.03125,0.040892193308550186
Onshore_Gas_Pipeline,1.0,1.0
Onshore_Gas_Pipeline,1.9195396157639943,1.2210195908044434
Onshore_Gas_Pipeline,2.3122393471145073,1.1528175278080208
Onshore_Gas_Pipeline,3.783930269723819,0.9935593235141003
Onshore_Gas_Pipeline,4.615949584173239,0.8169738692818989
Onshore_Gas_Pipeline,8.038483616009556,0.8002240090708621
Onshore_Gas_Pipeline,9.052343763054306,0.9241744881615498
Onshore_Gas_Pipeline,9.978615862802094,1.0743290613250613
Onshore_Gas_Pipeline,10.633596076872063,1.1065909990090246
Onshore_Gas_Pipeline,10.931302828225398,1.0625358463125478
Onshore_Gas_Pipeline,11.109751018848067,1.0076151789263166
Onshore_Gas_Pipeline,11.60683259002197,0.9455665781704838
