,iter,scenario,cost
59,19,fast transition,166.1996575859773
60,20,no transition,166.3972740593447
61,20,slow transition,153.19428584718239
62,20,fast transition,160.10622023787985
63,21,no transition,184.87082884579763
64,21,slow transition,171.16382546055277
65,21,fast transition,164.47790618318166
66,22,no transition,171.28505913197048
67,22,slow transition,184.3371973362985
68,22,fast transition,156.2656510118885
69,23,no transition,164.75861409436408
70,23,slow transition,162.62116066861907
71,23,fast transition,161.43653270329298
72,24,no transition,171.12463874046776
73,24,slow transition,176.63976248394343
74,24,fast transition,165.7489726866643
75,25,no transition,179.89504846975584
76,25,slow transition,156.64404548861845
77,25,fast transition,161.09469008990695
78,26,no transition,156.12911308681586
79,26,slow transition,172.38581947840717
80,26,fast transition,163.46035083374457
81,27,no transition,165.4312881629165
82,27,slow transition,162.65360594112818
83,27,fast transition,162.52630524650732
84,28,no transition,171.42073225328573
85,28,slow transition,170.1284671522396
86,28,fast transition,180.64169545884525
87,29,no transition,175.556419891453
88,29,slow transition,174.4828195325301
89,29,fast transition,160.72246968055023
90,30,no transition,166.04869113064402
91,30,slow transition,156.7489043559755
92,30,fast transition,164.7718666730513
93,31,no transition,162.1904753606025
94,31,slow transition,167.25675332923984
95,31,fast transition,156.88928539800543
96,32,no transition,149.2734613412594
97,32,slow transition,180.28838351582556
98,32,fast transition,154.79498054178006
99,33,no transition,194.0807698027342
100,33,slow transition,154.91836904180389
101,33,fast transition,163.09608313421117
102,34,no transition,169.6428171236405
103,34,slow transition,159.80519653461315
104,34,fast transition,175.75341066840332
105,35,no transition,198.30741473196653
106,35,slow transition,174.4120266250912
107,35,fast transition,149.46662538924429
108,36,no transition,161.0374927722428
109,36,slow transition,197.1419047631607
110,36,fast transition,169.51162597348588
111,37,no transition,175.83141760837836
112,37,slow transition,163.35299388881657
113,37,fast transition,165.2702678099996
114,38,no transition,180.11948555748566
115,38,slow transition,167.30698831460413
116,38,fast transition,165.03953612739195
117,39,no transition,192.21447009581988
118,39,slow transition,168.42405331710333
119,39,fast transition,139.65499675026967
120,40,no transition,161.03234709664198
121,40,slow transition,167.95121263252736
122,40,fast transition,162.04122249892515
123,41,no transition,168.6382168810177
124,41,slow transition,162.35524928803738
125,41,fast transition,171.6601676364012
126,42,no transition,161.90872543037077
127,42,slow transition,177.7080818590598
128,42,fast transition,176.14384832511283
129,43,no transition,195.09598388994712
130,43,slow transition,159.2253308612875
131,43,fast transition,160.11597745625775
132,44,no transition,170.49163543332088
133,44,slow transition,166.92887403606687
134,44,fast transition,175.6347242979104
135,45,no transition,179.98906929238095
136,45,slow transition,168.32058924234823
137,45,fast transition,159.5206978830943
138,46,no transition,193.48663976200484
139,46,slow transition,161.29701940215244
140,46,fast transition,166.94220820230558
141,47,no transition,190.01737631217594
142,47,slow transition,173.49328019031174
143,47,fast transition,158.4503110346275
144,48,no transition,171.79110048612912
145,48,slow transition,181.38563557147586
146,48,fast transition,158.83945805505923
147,49,no transition,202.9708532038858
148,49,slow transition,184.1896404468992
149,49,fast transition,146.38983637604844
150,50,no transition,162.79794427411497
151,50,slow transition,157.73415067668424
152,50,fast transition,165.34464095365163
153,51,no transition,182.1883483080585
154,51,slow transition,174.8331752442052
155,51,fast transition,168.81239240190962
156,52,no transition,166.27790927425556
157,52,slow transition,176.12614159305213
158,52,fast transition,156.31287879174988
159,53,no transition,184.35353164682493
160,53,slow transition,171.6011418634432
161,53,fast transition,164.51692195739986
162,54,no transition,155.24686506394562
163,54,slow transition,167.7084399067217
164,54,fast transition,169.3584950835108
165,55,no transition,157.26224468547366
166,55,slow transition,174.62762976629142
167,55,fast transition,155.9677686050548
168,56,no transition,177.95627871445538
169,56,slow transition,175.00669199091217
170,56,fast transition,156.63436128344122
171,57,no transition,206.96725766652972
172,57,slow transition,188.9212184041288
173,57,fast transition,166.82543855386336
174,58,no transition,164.8531660644782
175,58,slow transition,165.80631019120986
176,58,fast transition,159.72351673462867
177,59,no transition,169.51679306987776
178,59,slow transition,178.08149113747913
179,59,fast transition,158.62542179110488
180,60,no transition,189.50078230091225
181,60,slow transition,167.57387767423185
182,60,fast transition,160.08299756672443
183,61,no transition,179.42269415527832
184,61,slow transition,166.32334106113777
185,61,fast transition,168.23509891649348
186,62,no transition,162.13091114151132
187,62,slow transition,171.9814896633845
188,62,fast transition,174.46416989598399
189,63,no transition,165.31649448313564
190,63,slow transition,169.09201524960616
