,Tech,Training horizon,Forecast horizon,Paired t-test,Wilcoxon signed-ranks test,Mean Error (Tech),Mean Error (Avg)
141,Polystyrene,1.0,1.0,2.2265328582582578e-75,6.3252466805487485e-22,0.25652234708144067,0.1404255052326657
142,Fotovoltaica,1.0,2.0,0.0,0.0,0.7729226962963748,0.2932501069360905
143,Photovoltaics_2,1.0,2.0,1.2963934243129691e-51,8.149781597324959e-17,0.6829196921543245,0.34221898274512763
144,Transistor,1.0,2.0,0.0,0.0,0.25266811896586944,0.880783441781029
145,Photovoltaics_4,1.0,2.0,9.824021213577592e-33,1.4210854715202004e-14,0.2539556373607852,0.053190659221465895
146,DRAM,1.0,2.0,0.0,0.0,0.6662812659932269,1.0216179256158076
147,Laser_Diode,1.0,2.0,3.309332423728214e-11,1.9073486328125e-06,0.4510177564039704,0.18920871968135156
148,Solar_Water_Heaters,1.0,2.0,5.8923972609119685e-06,0.00390625,0.08665075659362939,0.817624601662199
149,Hard_Disk_Drive,1.0,2.0,3.183060602926206e-88,2.4599268408361663e-28,0.31021844039340224,1.200668644990847
150,Wind_Turbine_2_(Germany),2.0,0.5,6.62364125851427e-07,1.52587890625e-05,0.05888804555251921,0.21365506259786968
151,Fotovoltaica,2.0,0.5,0.0,0.0,0.18949586066130394,0.11529712236817873
152,Photovoltaics_2,2.0,0.5,1.0852166220843431e-88,4.549053989896993e-71,0.13346875323293544,0.09415817037526869
153,Titanium_Sponge,2.0,0.5,9.321202265453476e-14,2.3283064365386963e-10,0.34166716477121317,0.15281787230067967
154,Wind_Electricity,2.0,0.5,5.211669230019279e-143,2.031185178538932e-77,0.16120271898098032,0.037969391324538686
155,Transistor,2.0,0.5,0.0,1.5680426087461664e-225,0.14461129297702585,0.3062634860601959
156,Photovoltaics_4,2.0,0.5,2.3811285583833e-40,2.551373029402235e-39,0.060859093378524236,0.042525821219021875
157,DRAM,2.0,0.5,0.0,3.7466243485815793e-205,0.2884257631545592,0.35405431029778867
158,Monochrome_Television,2.0,0.5,5.816139208376123e-18,4.547473508864641e-13,0.14652849035592846,0.03931632727949624
159,Laser_Diode,2.0,0.5,4.506585460814601e-11,1.000444171950221e-11,0.17035612393409622,0.10928771960764996
160,Capillary_DNA_Sequencing,2.0,0.5,0.01511854876528397,0.125,0.09791588139125758,0.06594424469336854
161,Photovoltaics,2.0,0.5,1.290084419506011e-13,1.2809754532683704e-12,0.08390453676207953,0.08974880238191207
162,Solar_Water_Heaters,2.0,0.5,1.012509687179907e-05,0.0001220703125,0.09309993914585264,0.1892195323777745
163,Wind_Turbine_(Denmark),2.0,0.5,1.1089116533974125e-14,2.842170943040401e-14,0.04864367288458323,0.09568727685709014
164,Hard_Disk_Drive,2.0,0.5,3.515276273025428e-60,1.0792215725240146e-26,0.19836325782048486,0.3622343493320316
165,Primary_Magnesium,2.0,0.5,3.7890431161751836e-177,1.3888334435000706e-93,0.13096916151975319,0.18391942418396431
166,Wheat_(US),2.0,0.5,0.0,0.0,0.295330248578516,0.17209032980700556
167,Wind_Power,2.0,0.5,4.692354312883054e-19,5.362626265112966e-15,0.0975492961521519,0.11210934005444848
168,Polystyrene,2.0,0.5,0.0001579134241853222,0.0009765625,0.2082332528684494,0.11807591686359444
169,Wind_Turbine_2_(Germany),2.0,1.0,0.0008454265105085273,0.0625,0.03538906724131597,0.32606098026386143
170,Fotovoltaica,2.0,1.0,0.0,0.0,0.34129677434958305,0.16636908390725158
171,Photovoltaics_2,2.0,1.0,8.115857203200165e-20,5.600179078245359e-17,0.13920922580050232,0.1116038757312775
172,Titanium_Sponge,2.0,1.0,2.5947414141780475e-09,0.00048828125,0.47362158927993797,0.17734119739799348
173,Wind_Electricity,2.0,1.0,5.7281828697102696e-95,2.4599268408361663e-28,0.26169305628157935,0.05027321816400639
174,Transistor,2.0,1.0,0.0,4.473376390787682e-216,0.20132976365997202,0.5178262355224371
175,Photovoltaics_4,2.0,1.0,1.4302436106678383e-41,7.732733053009577e-14,0.11935506734945128,0.07212618669165066
176,DRAM,2.0,1.0,0.0,4.69218953932423e-187,0.3636640197282628,0.5336619427501458
177,Laser_Diode,2.0,1.0,7.172155521914921e-15,2.9802322387695312e-08,0.36916732787697176,0.19608469648634025
178,Photovoltaics,2.0,1.0,0.00012554135896383417,0.03125,0.1563294761455812,0.14313090255835642
179,Solar_Water_Heaters,2.0,1.0,6.025496616035991e-06,0.001953125,0.16199826796106512,0.3015544196134733
180,Hard_Disk_Drive,2.0,1.0,1.4708190672966954e-63,8.748478943443364e-20,0.2654173817383404,0.5673289342498922
181,Wind_Power,2.0,1.0,6.809172507477177e-08,0.000244140625,0.10883326577085502,0.17001958497180952
182,Fotovoltaica,2.0,2.0,1.7614135692696363e-291,4.5875222867961455e-217,0.6874792467406596,0.2847780606928547
183,Transistor,2.0,2.0,0.0,7.983048513695013e-272,0.24365322534288128,0.881957502041946
184,DRAM,2.0,2.0,0.0,7.511547340832815e-256,0.6444392616190311,1.0362517123182338
185,Laser_Diode,2.0,2.0,4.9286960094016945e-06,0.0078125,0.43262397793718727,0.09206259677968624
186,Hard_Disk_Drive,2.0,2.0,9.252485966962191e-25,3.637978807091713e-12,0.2718390166974353,1.0172955363924012
