,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
323,no transition,Technology-specific - Way et al. (2022),197.8514872419741
324,no transition,Technology-specific - Way et al. (2022),166.9154696325146
325,no transition,Technology-specific - Way et al. (2022),179.099620516915
326,no transition,Technology-specific - Way et al. (2022),179.27391329732538
327,no transition,Technology-specific - Way et al. (2022),174.73240654005286
328,no transition,Technology-specific - Way et al. (2022),177.43566132272062
329,no transition,Technology-specific - Way et al. (2022),174.3831288227146
330,no transition,Technology-specific - Way et al. (2022),182.4829945092228
331,no transition,Technology-specific - Way et al. (2022),193.7860939777818
332,no transition,Technology-specific - Way et al. (2022),179.9262963413758
333,no transition,Technology-specific - Way et al. (2022),175.22227508206836
334,no transition,Technology-specific - Way et al. (2022),167.5582721475143
335,no transition,Technology-specific - Way et al. (2022),157.60884603283512
336,no transition,Technology-specific - Way et al. (2022),192.6375994977898
337,no transition,Technology-specific - Way et al. (2022),208.87087216836431
338,no transition,Technology-specific - Way et al. (2022),168.76370035055567
339,no transition,Technology-specific - Way et al. (2022),185.71589682313365
340,no transition,Technology-specific - Way et al. (2022),172.62439626376366
341,no transition,Technology-specific - Way et al. (2022),184.2382833818276
342,no transition,Technology-specific - Way et al. (2022),234.39627177675996
343,no transition,Technology-specific - Way et al. (2022),172.5225214744355
344,no transition,Technology-specific - Way et al. (2022),168.7551801386538
345,no transition,Technology-specific - Way et al. (2022),197.26475667591802
346,no transition,Technology-specific - Way et al. (2022),160.7097479545847
347,no transition,Technology-specific - Way et al. (2022),179.39428478706674
348,no transition,Technology-specific - Way et al. (2022),182.25970043353936
349,no transition,Technology-specific - Way et al. (2022),166.94844819824056
350,no transition,Technology-specific - Way et al. (2022),176.90794301567186
351,no transition,Technology-specific - Way et al. (2022),188.68434774917432
352,no transition,Technology-specific - Way et al. (2022),200.18291372795463
353,no transition,Technology-specific - Way et al. (2022),167.47170687197288
354,no transition,Technology-specific - Way et al. (2022),177.0206595777525
355,no transition,Technology-specific - Way et al. (2022),176.0181915096826
356,no transition,Technology-specific - Way et al. (2022),188.44031547472056
357,no transition,Technology-specific - Way et al. (2022),198.43444089243638
358,no transition,Technology-specific - Way et al. (2022),184.74569886216324
359,no transition,Technology-specific - Way et al. (2022),168.31983096748655
360,no transition,Technology-specific - Way et al. (2022),182.42390178844113
361,no transition,Technology-specific - Way et al. (2022),173.3394785645903
362,no transition,Technology-specific - Way et al. (2022),188.60484146050288
363,no transition,Technology-specific - Way et al. (2022),169.52100380726057
364,no transition,Technology-specific - Way et al. (2022),167.60344105643074
365,no transition,Technology-specific - Way et al. (2022),163.82726188110723
366,no transition,Technology-specific - Way et al. (2022),174.2402158022826
367,no transition,Technology-specific - Way et al. (2022),178.01960699273366
368,no transition,Technology-specific - Way et al. (2022),159.50596607088303
369,no transition,Technology-specific - Way et al. (2022),178.13149814575755
370,no transition,Technology-specific - Way et al. (2022),194.94293733207047
371,no transition,Technology-specific - Way et al. (2022),174.77797691321513
372,no transition,Technology-specific - Way et al. (2022),205.50480538251543
373,no transition,Technology-specific - Way et al. (2022),185.91331635639418
374,no transition,Technology-specific - Way et al. (2022),169.56614027007393
375,no transition,Technology-specific - Way et al. (2022),178.97859222595724
376,no transition,Technology-specific - Way et al. (2022),178.01299617540656
377,no transition,Technology-specific - Way et al. (2022),222.20456407486313
378,no transition,Technology-specific - Way et al. (2022),191.1281727218348
379,no transition,Technology-specific - Way et al. (2022),160.70931505221878
380,no transition,Technology-specific - Way et al. (2022),176.499743588054
381,no transition,Technology-specific - Way et al. (2022),162.02117746163057
382,no transition,Technology-specific - Way et al. (2022),194.6469761389741
383,no transition,Technology-specific - Way et al. (2022),180.3268171900161
384,no transition,Technology-specific - Way et al. (2022),178.14606728756218
385,no transition,Technology-specific - Way et al. (2022),161.2817329809138
386,no transition,Technology-specific - Way et al. (2022),177.12676142741583
387,no transition,Technology-specific - Way et al. (2022),184.24481899142032
388,no transition,Technology-specific - Way et al. (2022),205.37005637084272
389,no transition,Technology-specific - Way et al. (2022),169.56764934287736
390,no transition,Technology-specific - Way et al. (2022),187.21214977585836
391,no transition,Technology-specific - Way et al. (2022),172.34650510428287
392,no transition,Technology-specific - Way et al. (2022),168.78801870504657
393,no transition,Technology-specific - Way et al. (2022),189.24853075505027
